island,mass_kg,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,n_lines,density_profile,n_expansion,bank_angle_deg,blade_scale
20,1.0000040315619018e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213691014998,3.0,3.070142435623294,0.8,11.426152288852895,16.422310487506046,0.005
21,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,3.0,3.0,0.8,0.0,32.77708153595671,0.005
22,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213690162877,3.0,3.4168335324513968,0.8,20.0,5.0,0.4678472373581024
23,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,3.0,3.0,0.8,11.16033060962023,5.0,1.0078578920908674
24,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,2.9229303600801386,3.0756206652826594,0.8,18.586607271745603,35.0,0.31223637639720264
25,1.000004031561961e6,0.010603207106792337,0.01,0.15,1.0,5.396543954407839,0.31042138961564836,3.0,3.1655941556653646,0.8,11.504432644694283,17.280212863182122,0.25925118947378234
26,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213689295149,2.9999999999873865,3.1903260792177264,0.7999999999727216,20.0,14.286418959980203,0.08147334927856223
27,1.0000040315619017e6,0.010603207008683476,0.01,0.15,1.0,5.396543945697816,0.3104213689432682,3.0,3.236872155052083,0.8,10.909029210750244,13.306374888694933,0.6412114942193281
28,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,2.902672136832833,3.027170482904302,0.8,13.079300295074551,29.012261270941877,1.0221783757999838
29,1.0000040315619017e6,0.010603207008686232,0.01,0.15,0.9999999999363522,5.396543945697816,0.3104213689698089,3.0,3.0291453787668927,0.8,0.0,6.089092630087036,2.0
30,1.0000040315622278e6,0.010603207067706288,0.010000260057266938,0.15,0.9999999572130277,5.396543999372534,0.31042152839401027,3.0,3.0,0.8,15.936421262853127,14.72465690365169,1.6276872203935961
31,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136896005024,3.0,3.175953168253766,0.8,0.0,34.116073371513174,2.0
32,1.0000040315619017e6,0.010603207008669806,0.010000000102012694,0.15,1.0,5.396543945697816,0.31042136887398913,2.999999999972021,3.495643378696404,0.8,7.919004111929222,9.103110856479486,0.5010725706712196
33,1.0000040315619018e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213690439763,3.0,3.342022677262627,0.8,9.049137792687258,5.0,1.540574364116015
34,1.0000040315619017e6,0.010603207008669806,0.01,0.15000000001475694,1.0,5.396543945697816,0.3104213688483676,3.0,3.0,0.8,7.863213144528179,7.265903967175923,0.4066207563791295
35,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,3.0,3.0,0.8,11.443908519225364,35.0,0.005
36,1.0000040315619089e6,0.01060320702169822,0.01,0.15,1.0,5.396543945697816,0.3104213719853527,3.0,3.1209628464046295,0.8,4.2165815403682885,7.653710802904341,1.1692847332254706
37,1.0000040315619018e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213690370486,3.0,3.410813590765854,0.8,20.0,5.0,0.2352583064974335
38,1.0000040315619144e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213912403122,3.0,3.3511350942054587,0.8,1.9488301021968013,5.0,0.4928179417764387
39,1.0000040315619037e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042137246525064,3.0,3.1781357150952743,0.8,0.0,13.9599543210169,2.0
40,1.0000040315619027e6,0.010603207008669806,0.01,0.15000000002864683,1.0,5.396543945697816,0.31042137052604585,3.0,3.3618692859172743,0.8,15.023975372756103,35.0,2.0
41,1.0000040315648024e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042647484738595,3.0,3.131817316074799,0.8,0.0,35.0,1.9111523140486013
42,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,2.9513365825621993,3.2392147020422453,0.8,0.0,12.957140304686728,0.005
43,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136898766787,3.0,3.058549287796962,0.8,20.0,34.521902991439006,2.0
44,1.0000040315619032e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042137160848193,3.0,3.0,0.8,8.682389649670931,33.57619849271883,1.6240671918793839
45,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213688666666,3.0,3.0,0.8,0.0,35.0,0.005
