device,t_sim,hub_x,hub_y,hub_z,hub_r_xy,elev_deg,omega_hub,omega_gnd
SingleKite,3.7800000000000002,25.96299175687716,1.395412564595396e-7,15.012713166348785,0.0172333821673974,30.03800828721303,-0.0001852725092815526,-0.00024110302653843966
SingleKite,3.8000000000000003,25.962918973707314,1.4653058709544673e-7,15.012802362100675,0.017306165337297615,30.038225407373947,-0.00019090485909062875,-0.0002489047497525483
SingleKite,3.8200000000000003,25.962846352138424,1.5383146141507171e-7,15.012890947555,0.0173787869062481,30.03844136391941,-0.00019668103178504303,-0.0002569162212841312
SingleKite,3.8400000000000003,25.962773924700706,1.614562213366691e-7,15.01297861815805,0.017451214344032556,30.038655622057128,-0.00020261711783989855,-0.0002650624450702205
SingleKite,3.8600000000000003,25.96270166160252,1.6941757014669204e-7,15.01306585706719,0.017523477442290835,30.038869009346175,-0.00020869495170263886,-0.00027327767561372853
SingleKite,3.8800000000000003,25.962629562331575,1.7772879117196113e-7,15.013152643664402,0.017595576713314114,30.03908149217754,-0.00021491399171241166,-0.0002815322706169605
SingleKite,3.9000000000000004,25.96255767160546,1.8640353736979467e-7,15.013238436477522,0.0176674674395151,30.039292132279677,-0.0002212979423108568,-0.00028984092227495934
SingleKite,3.9200000000000004,25.962485886556916,1.9545585122005655e-7,15.013324706280192,0.017739252488152214,30.03950346044771,-0.00022777698152081082,-0.00029824641970231213
SingleKite,3.9400000000000004,25.962414071078,2.0490096597632958e-7,15.013412931610429,0.017811067967168796,30.039718052096156,-0.00023426566737348457,-0.0003067929466150022
SingleKite,3.9600000000000004,25.96234222974715,2.1475496584628899e-7,15.013502739482085,0.017882909298130155,30.039935285977,-0.0002407626583063079,-0.00031550875592471555
SingleKite,3.9800000000000004,25.962270374419948,2.250342713995549e-7,15.013593814124288,0.017954764625453885,30.040154628509892,-0.00024726907673033,-0.00032440370990585146
SingleKite,4.0,25.962198550662823,2.3575552929077195e-7,15.013685498547122,0.018026588382710183,30.04037494956112,-0.00025381016456000623,-0.0003334832232937501
Stack×3,1.02,25.97457613644615,-1.506868919291104e-12,15.002030374090888,0.005649002597841957,30.00926672583342,-1.0340987469239091e-7,-1.977058333462777e-7
Stack×3,1.04,25.97447627995621,-1.3995471741899386e-12,15.002086456270323,0.005748859087781,30.00945488658088,-1.1472369802694923e-7,-2.1608869742094868e-7
Stack×3,1.06,25.97437668684194,-1.2447758598121492e-12,15.002144002644428,0.005848452202052101,30.00964521832834,-1.2706964756988832e-7,-2.351959979510266e-7
Stack×3,1.08,25.974277323016604,-1.0345423500318928e-12,15.002203172896412,0.005947816027386921,30.009838017762455,-1.4051655625942297e-7,-2.552463558506861e-7
Stack×3,1.1,25.974178236825473,-7.600287190865012e-13,15.002263193623826,0.006046902218518113,30.01003195942743,-1.5516526930905238e-7,-2.764604802873408e-7
Stack×3,1.12,25.974079448830874,-4.1152696426205644e-13,15.002323770566996,0.00614569021311695,30.01022653694558,-1.711116852162171e-7,-2.990213405539376e-7
Stack×3,1.1400000000000001,25.973980978458698,2.1594587797988364e-14,15.002384661428604,0.006244160585293201,30.010421330973923,-1.8845423072766617e-7,-3.2305296495172005e-7
Stack×3,1.16,25.973882833886165,5.509765574563782e-13,15.00244576970108,0.006342305157826189,30.010616174062456,-2.0728914481655074e-7,-3.486271188310353e-7
Stack×3,1.18,25.973785006621483,1.189342667622541e-12,15.002507222323425,0.006440132422508071,30.010811284282898,-2.277055067813226e-7,-3.758005424248597e-7
Stack×3,1.2,25.973687453724487,1.950824665162607e-12,15.002569527269186,0.00653768531950405,30.011007542876936,-2.4977773368120315e-7,-4.0466710753056706e-7
Stack×3,1.22,25.97359020286645,2.85091597060075e-12,15.002632202486131,0.006634936177540851,30.011204126052263,-2.736341912861954e-7,-4.353880381184345e-7
Stack×3,1.24,25.973493293166346,3.906087690256029e-12,15.002694779571344,0.006731845877645526,30.011400221655972,-2.99413197781812e-7,-4.6818693623203283e-7
Stack×3,1.26,25.973396677894122,5.134392137162961e-12,15.002757905102891,0.006828461149869014,30.011596943812393,-3.2719405917106234e-7,-5.033441027246044e-7
Stack×3,1.28,25.97330039571116,6.555612097692581e-12,15.0028209303144,0.00692474333283144,30.011793182472044,-3.5714419782306e-7,-5.411803581931234e-7
Stack×3,1.3,25.973204668563522,8.188960197673183e-12,15.00288113384047,0.007020470480469498,30.011984224247914,-3.8959474993439757e-7,-5.820007981854019e-7
Stack×3,1.32,25.97310944844072,1.0053802719213787e-11,15.002939624913026,0.007115690603271219,30.01217194974692,-4.245983828793739e-7,-6.26063233344959e-7
Stack×3,1.34,25.97301463708492,1.2171993918897066e-11,15.002997680669038,0.007210501959072246,30.01235856531129,-4.621695855897237e-7,-6.736278819798198e-7
Stack×3,1.36,25.972920230706265,1.4566743297944274e-11,15.003055264154103,0.007304908337726346,30.01254401342853,-5.024253482759883e-7,-7.249793837609326e-7
Stack×3,1.38,25.972826198869825,1.726257462755304e-11,15.003112757685258,0.007398940174166313,30.012728955548116,-5.454474071914001e-7,-7.804492353214274e-7
Stack×3,1.4,25.972732432965678,2.0287026783295538e-11,15.003171436380187,0.007492706078313205,30.012915604566643,-5.912202305748869e-7,-8.404409095670322e-7
