genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v10,f_v11,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,chosen_k,k_prior,k_bracket_results,timestamp,anchor_source
7b9c296aa7aa,post-234a722_corrected-physics_ON,fc280b7,0.14981813454772652,0.10063846065496115,0.6487898952422942,0.11762520163343401,14.070035042179565,0.8773578842385836,2.5,12.0,0.0,5.0,15.0,10.0,1.6881172386951973,0.9309459053314973,1.0,12,3,1.0000161018860984e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,1752.3582826420256,"{""k_chosen"":0.0,""k_prior"":1752.3582826420256}",2026-07-22T22:12:43.246,LHS
7d770b9c1e55,post-234a722_corrected-physics_ON,fc280b7,0.05216047031091494,0.03568285917001723,0.20150842224012605,0.1558343502115561,27.740280046002955,0.9395542676456472,2.5,4.0,0.0,5.0,15.0,10.0,0.5441567158947006,0.8434782983481652,1.0,4,2,1.000008793351905e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,182.0814415505997,"{""k_chosen"":0.0,""k_prior"":182.0814415505997}",2026-07-22T20:02:04.051,LHS
7f3a2af5faff,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,3.7,2.0,2.5,12.0,0.0,8.0,15.0,5.0,0.5,0.3,1.0,12,3,1.0000012577222604e6,-3.1648316860431374,48.680454492892416,0.09751855397647997,60.83878973621567,202.51588471613258,false,153.72967345311054,153.72967345311054,"{""k_chosen"":153.72967345311054,""k_prior"":153.72967345311054}",2026-07-22T23:41:14.435,legacy
8bd4ebd1aa84,post-234a722_corrected-physics_ON,fc280b7,0.13781501757092496,0.07756051024897904,0.8410348920343934,0.687448842197015,9.693024707086208,3.9703759149884172,2.5,12.0,0.0,5.0,15.0,10.0,1.38816086813461,0.4069256620967091,1.0,12,3,1.0010451780671321e6,-1.9869865466575647,20.785038143246837,0.14339544625539788,30.955124869071007,61.76442212648764,true,1000.0,1184.942540170638,"{""k_chosen"":1000.0,""k_prior"":1184.942540170638}",2026-07-22T22:24:10.389,LHS
8fb3885b5cab,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,3.7,2.0,2.5,12.0,0.0,8.0,15.0,5.0,1.5,1.2,1.0,12,3,1.0001206682252447e6,-4.420840027473486,91.53234485187008,0.07244717757358694,43.84644898714072,169.5253414904957,true,1000.0,1383.5670610779948,"{""k_chosen"":1000.0,""k_prior"":1383.5670610779948}",2026-07-23T00:39:26.824,legacy
8ff6dabcbcad,post-234a722_corrected-physics_ON,fc280b7,0.10441940842907793,0.026661527872467818,0.9594877299885615,0.84509508932636,5.886980171465904,1.591617043629554,2.5,12.0,0.0,5.0,15.0,10.0,0.1640701886768109,0.27577338177453764,1.0,12,3,1.0000123620576179e6,-0.12069367637854764,3.6969068031808012,0.04897080835580033,59.69969494593041,108.73289650985257,false,8.276506403105186,16.553012806210372,"{""k_chosen"":8.276506403105186,""k_prior"":16.553012806210372}",2026-07-22T22:12:43.24,LHS
af0ca9805d3d,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,3.7,2.0,2.5,12.0,0.0,8.0,15.0,5.0,0.2,0.15,1.0,12,3,1.0000047147375976e6,-0.3838171446009455,16.631528563261632,0.0346165245552458,72.14113632311405,319.4479677838097,false,49.19349550499538,24.59674775249769,"{""k_chosen"":49.19349550499538,""k_prior"":24.59674775249769}",2026-07-23T00:21:03.305,legacy
afd81f567011,post-234a722_corrected-physics_ON,fc280b7,0.07334444391936192,0.12426189070245706,1.3016421996326324,0.4384806148609473,17.96428374286018,2.5890056722466173,2.5,6.0,0.0,5.0,15.0,10.0,1.7851794677446107,1.5034062995493838,1.0,6,2,1.0000199361972057e6,-0.021199545492592644,0.6479280003865457,0.04907847510821864,23.31854613861082,4.922031059743193,true,979.8316566560403,1959.6633133120806,"{""k_chosen"":979.8316566560403,""k_prior"":1959.6633133120806}",2026-07-22T20:36:46.797,LHS
b6c01927a4c3,post-234a722_corrected-physics_ON,fc280b7,0.07212566468798301,0.08172562817857901,0.609408019953127,0.9866853954580821,24.901401770546382,1.6202521349187997,2.5,3.0,0.0,5.0,15.0,10.0,1.3056465426306434,1.527039877571032,1.0,3,2,1.0000160186314691e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,1048.2598262779468,"{""k_chosen"":0.0,""k_prior"":1048.2598262779468}",2026-07-22T19:31:28.945,LHS
b9ed204c6f1a,post-234a722_corrected-physics_ON,fc280b7,0.13114064363977984,0.04847418937236193,1.3817805920038908,0.06427565051125103,16.547140255390648,4.8227070953040085,2.5,16.0,0.0,5.0,15.0,10.0,0.5851878794636302,1.793357417040261,1.0,12,2,1.0001326520466914e6,-0.005579126196349187,0.305239502284635,0.02741679642341967,26.41790885580508,0.13787883557019157,true,105.2878712456008,210.5757424912016,"{""k_chosen"":105.2878712456008,""k_prior"":210.5757424912016}",2026-07-22T22:32:45.788,LHS
