protocol,ts,P_kW,FoS,omega
full,128.9999999961483,0.7942855398320449,0.9258344934447942,1.997213388541653
full,129.9999999964657,0.04102992536127667,1.5772672905553242,0.7438165301668669
full,130.99999999678312,0.010346645053151174,2.398102601095628,0.46992884140633984
full,131.99999999710053,3.980888815881768e-6,9.106274827791111,0.03417896699482919
full,132.99999999741794,0.0,4.498310375875642,0.03643017709645053
full,133.99999999773536,2.0373732469145883e-5,1.895929542371058,0.058900970372931544
full,134.99999999805277,0.0030992917552669797,1.0465141584703608,0.31442693118044757
full,135.99999999837019,0.06342983747589853,0.6345340210425728,0.8600627059945196
full,136.9999999986876,0.22005725144775598,0.43096568894718235,1.3019994819220257
full,137.999999999005,0.16323449242971827,0.6309135430946965,1.1786084788340592
full,138.99999999932243,0.18914654731819672,0.6537986497902772,1.2379365606186175
full,139.99999999963984,0.4408848763363647,0.4310611901338904,1.6413731209902338
full,140.99999999995725,0.8467536866854205,0.32871245678336214,2.0402557730935027
full,142.00000000027467,0.7138714206444775,0.2598877037722163,1.9274017481310948
full,143.00000000059208,2.775112337250431,0.31271490272024094,3.0305801389001292
full,144.0000000009095,2.9795129238003724,0.1746460164749709,3.103230305585741
full,145.0000000012269,6.827357837106913,0.2100903786320356,4.091191470737783
full,146.00000000154432,4.7100869211516105,0.17769609970976902,3.6150021278919815
full,147.00000000186174,4.563659603568373,0.2615007800339486,3.577145987184902
full,148.00000000217915,5.297915381545045,0.2329853708124619,3.7595331836280064
full,149.00000000249656,4.7532284981820245,0.2983162680547519,3.626005685884371
full,150.00000000281398,5.264139163538441,0.25085753143412143,3.751526661714097
warm,1.000000000000437,0.0,0.01591519376117523,48.74630864537504
warm,2.000000000001437,10.115496182470444,0.09524737854928954,4.664029766767158
warm,2.999999999996886,1795.9057807403494,0.0871091582513542,28.73449249184559
warm,3.999999999992335,15.690264999248027,0.06885367436372768,5.398946321333402
warm,4.999999999998886,0.0,0.3877672713167494,10.36831016303852
warm,6.000000000005437,998.0842871620127,0.10037699866617167,21.552020403126605
warm,7.000000000011989,0.10066529322629951,0.2546396559077608,1.0032107355537077
warm,8.00000000001854,0.0,0.22146967093785436,5.232146198663092
warm,9.000000000025091,13.993016460274202,0.20932045227314958,5.19680034042775
warm,10.000000000031642,0.0,3.2157091376595734,1.8957097299263914
warm,11.000000000038193,0.6069186588528181,0.5891999193978372,1.8258947777469456
warm,12.000000000044745,0.0,1.4873917363819122,1.54679308320054
warm,13.000000000051296,4.412956892431368,0.22727566657542794,3.537329193908112
warm,14.000000000057847,0.0,0.7100100668517486,3.5458767967400715
warm,15.000000000064398,12.125241839978404,0.16249211741587913,4.954453079293095
warm,16.000000000070948,0.0,0.9825055968369294,1.44667702158089
warm,17.00000000003309,0.0,0.43126623067258746,0.09044766739832164
warm,17.999999999995232,0.10279398044691038,0.7683267447004307,1.0102328298336505
warm,18.999999999957375,0.0,1.6609541467713904,1.7056088931024125
warm,19.999999999919517,0.009956752547416623,1.4128490821988153,0.4639503299928305
warm,20.99999999988166,0.0,2.0706657838380442,0.41623022193059095
warm,21.9999999998438,0.4513486718553749,0.8869276040450503,1.654256969196264
warm,22.999999999805944,0.0,1.2591185290770393,0.8732595258805134
warm,23.999999999768086,0.011121414995240829,0.6745916766797718,0.48137729140208513
warm,24.99999999973023,0.0,3.061528356877005,1.0896218036687264
warm,25.99999999969237,0.7632439975904373,0.4742093428954315,1.970849141540936
warm,26.999999999654513,0.0,1.0389467633769482,1.3638283906359383
warm,27.999999999616655,0.3128579942836839,0.45396445803903657,1.4640233460421532
warm,28.999999999578797,0.0,0.35814488673031497,1.1051280923789912
warm,29.99999999954094,0.08273988823943737,0.5290785867189867,0.939731734940219
warm,30.999999999503082,0.0,0.41086365244718953,0.5801182619117076
warm,31.999999999465224,0.0019853890924079664,0.5096761852006692,0.2710487822983468
warm,32.99999999942737,0.0,0.37621764054647977,0.47254489506421227
warm,33.99999999938951,0.0,0.9130494094504177,0.6064316120100592
warm,34.99999999935165,0.016058263779100312,0.8538549547870556,0.5440829449133349
warm,35.99999999931379,0.0,1.404113592893881,1.295527314314831
warm,36.999999999275936,0.1447087209812198,0.5806593748637859,1.1322191209941082
