# Re-scored under corrected Part A rules
# Source commit: e796673
# Changes:
#   A1: util split co-located with FoS_min (old columns were independent maxima)
#   A2: Betz physical-admissibility guard (10% tolerance)
#   A3: n_rings < 5 model-validity gate
#   A5: non-finite FoS routed to rejection band ≥ 12.0
# New columns:
#   A_projected_m2  — total projected swept area (bank-corrected)
#   Betz_ceiling_kW — 0.593 × ½ρv³ × A_projected
#   betz_flag       — P_mean > 1.1× ceiling
#   n_rings          — ring count (flag if < 5)
#   f_feas_new       — objective_feasibility(P_mean, FoS_min) under corrected rules
#   tier_new         — stalled / feasibility / feasible / rejected
#   util_flag        — A1 caveat: old util_a/util_b are independent maxima, identity may fail
#
genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v11,k_chosen,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,stationary,util_axial,util_bending,f_feas,tier,gen,timestamp,A_projected_m2,Betz_ceiling_kW,betz_flag,n_rings,f_feas_new,tier_new,util_flag
265e964158c0d3158792d91af3616ea956aa0c968abfa9a2974adccd099877a3,post-234a722_corrected-physics_ON,fd4c47b,0.28740600166172525,0.05308525616301299,1.0,1.0,7.7631293136037085,2.394371231229667,3.0,14.689394354280696,-0.7584525755882449,19.0,25.0,23.193674755578073,1.2179932559517592,1.0071694390742827,2.6133867856024913,12,2,-0.8949581973345039,912.2365381546846,24.35192854075411,0.055126529044922386,33.842347433617434,54.586602244702824,true,false,1.1047523039212401,18.14008640350101,10.025922858369835,stalled,3,2026-07-24T20:36:03.796,1036.82,501.24,false,6,10.0259,stalled,identity_broken_0.061
2b610e75424c95a1774b1ea58311b4464604c490182b48333da340cbf775a931,post-234a722_corrected-physics_ON,fd4c47b,0.21216914840395193,0.15,1.0,0.5075925886946866,5.366563145999496,7.288498652070345,2.0596991086218885,12.672,-0.8,5.517611172233254,0.0,3.4893817926078583,0.15025778680108426,1.4613100694313004,0.213509367655622,12,1,-1.556760966652894,27.76653370301936,71.97623673764852,0.03244322787381716,51.952465080894335,495.7021465458259,true,false,5.948283774094883,30.505872149890163,1.4675567721261829,feasibility,12,2026-07-25T05:46:23.763,402.64,194.65,false,7,1.4676,feasibility,identity_broken_0.183
2bd60f4bca00edc8375f99b40f9d1d290a8d22fa22d9520fb8be5674b61492f9,post-234a722_corrected-physics_ON,fd4c47b,0.150765503931104,0.10866205088776544,0.7167270015708715,0.092673792190061,8.867890892823686,4.341142044479746,2.5,4.0,0.0,5.0,15.0,10.0,1.001247590679272,0.9667588546933132,1.0,4,2,-1.3972509779440887,1000.0,9.909827550690085,0.2114947466235357,43.1748672613733,68.22957155491451,true,false,2.5614011523347315,4.227305467157852,10.603606897972396,stalled,0,2026-07-24T17:49:43.776,707.77,342.16,false,5,10.6036,stalled,identity_broken_0.436
2c4182adf6bed5abff5a7532b81c27046261926f49458034e1f7db66dce9ddcc,post-234a722_corrected-physics_ON,fd4c47b,0.2,0.15,1.0,0.5877350590197241,5.366563145999496,6.717047630874494,3.0,15.89316530000734,-0.8,19.0,0.0,0.0,0.5118165778511485,0.3605604985560249,0.6565383522220583,12,2,-0.785706415544234,80.54088504885748,9.497604071218602,0.12409020364281563,46.9173907114977,265.9221815337376,false,false,0.3069708162979291,8.025366343428411,10.620095837151256,stalled,11,2026-07-25T04:10:19.051,518.52,250.67,false,5,10.6201,stalled,identity_broken_0.034
2f683cef62352b694ec070ac41bae7bb4dd255dab0e50c5e4fbf084f4885313b,post-234a722_corrected-physics_ON,fd4c47b,0.2766167346712193,0.07704169805077897,1.0,0.6693327038943623,7.759763771251457,6.843201640189351,1.2759748215271265,4.754688646357597,0.7403285974265301,3.7644473265248184,13.807223936986693,8.815198813687223,1.2189253884801456,1.769407974016406,-1.4678205024122701,5,2,-1.6723599073708173,1000.0,42.67348244955378,0.058784512466768614,30.147459383322868,105.3425979999065,true,true,9.613970529507384,14.656291557836687,1.4412154875332315,feasibility,0,2026-07-24T18:25:49.373,2087.3,1009.08,false,8,1.4412,feasibility,identity_broken_0.427
38293d0832a8f86d2b3d8fdb2e161343d55a6e2ed3a412fd81b8343255d53fda,post-234a722_corrected-physics_ON,fd4c47b,0.40673897278496973,0.01,1.0,0.5,12.107508568646223,3.9497025948746938,3.0,16.0,0.0,19.0,20.07275158811657,17.88410656576803,0.7163848087733103,0.1690159093044865,1.1929166143807202,12,2,-1.3174325224353949,631.1613950758601,6.735521821739287,0.29339208393252586,30.22398210558954,11.202927481807976,true,false,0.35717733284710984,3.2693265626563606,10.73057912713043,stalled,2,2026-07-24T19:42:34.213,545.54,263.73,false,4,10.7306,stalled,identity_broken_0.064
384ed647560a88835ffc588cd4ccb8dd43fb560e31adb649018295b865f47c48,post-234a722_corrected-physics_ON,fd4c47b,0.2,0.07726490981392203,1.0,0.8725846212491934,21.068774337316306,1.5,2.99,6.1164315892084655,-0.11,19.0,8.840939485145713,4.0,0.8575900476850319,1.5184509644705648,0.3010299956639812,6,2,-0.3040522713185657,904.4970535531638,1.0213166382404701,0.4465592646797402,26.914777924930824,8.970085649365613,true,false,0.3852773385101173,2.2393444254642705,10.959147334470382,stalled,1,2026-07-24T19:16:55.266,1845.03,891.95,false,4,10.9591,stalled,identity_broken_0.172
3893c60b7ae431da2392270de157776afc306b71bcda773ca365fbcbed50ff27,post-234a722_corrected-physics_ON,fd4c47b,0.2,0.01,1.0,1.0,8.867890892823686,1.5198821824444884,2.9878503,13.6,0.0,18.5580461,25.0,25.0,0.5931335667358757,0.9667588546933132,2.218535505216528,12,2,-0.19855342618165012,432.6659281848019,19.046003212623855,0.01563740885410913,38.999443634249246,86.01642951776631,true,false,2.432363227210565,62.693621815235545,10.238159871495046,stalled,1,2026-07-24T18:46:14.473,843.25,407.66,false,6,10.2382,stalled,identity_broken_0.018
3ad49f0000b110cc3395345068f9b9afe2b1765ae7075a10266b7d00f42fb51b,post-234a722_corrected-physics_ON,fd4c47b,0.366859942367201,0.11471272116674777,1.0,0.3037398988644161,10.023550608818159,4.229007997099814,2.9227994914001876,9.316431589208467,-0.6341663941764573,19.0,16.84093948514571,23.153593499319243,2.0,0.1,1.5448031921148806,9,2,-0.2895909284707331,1000.0,6.323611564145876,0.06869276967753976,25.79242692030916,33.5600448306463,true,false,4.485901571126754,10.991610084824904,10.747055537434164,stalled,8,2026-07-25T00:27:15.247,1057.63,511.3,false,4,10.7471,stalled,identity_broken_0.063
3e9dbe8443d9c5fe8ec6ee1cabe73170d58a20ff9df8917b991669bfbe54d3dd,post-234a722_corrected-physics_ON,fd4c47b,0.44,0.10752647118841979,1.0,0.5628194385051523,9.605714057387969,6.230388956872597,2.89028024,5.395196889215807,-0.7457490393509195,16.091557861219854,16.84093948514571,6.009085505046741,2.0,0.9181000689871845,-0.005260356228236729,5,1,-3.080562036225633,1000.0,67.7485436920275,0.06820579163065052,27.484474572156394,723.545384074363,true,false,11.418487043172512,7.247874128958711,1.4317942083693496,feasibility,6,2026-07-24T23:14:59.64,1332.26,644.06,false,4,1.4318,feasibility,identity_broken_0.273
