node_id,type,x,y,z,vx,vy,vz,tension_N
19,rope,3.457843797570288,-0.08788129035758299,0.7556437319384733,0.10388246887632248,3.1666636833217128,-0.10382195905823198,0.0
20,rope,3.9019499164080997,-0.10300190112897345,0.9855140250842918,0.1555257252227508,3.220205906807298,-0.14014578154955,0.0
21,rope,2.474818899898401,0.9778878130794418,0.9099756523922725,-2.293252370453527,1.0440183469343587,1.7737986249150297,0.0
22,rope,2.9238168852450297,0.9928526657918606,1.130046181199666,-2.459293448479676,1.115094425358366,1.7236595313672383,0.0
23,rope,3.3722483469491453,0.9954983113713114,1.3520902019297467,-2.329466869684991,1.1898397397497682,1.8204236841537886,0.0
24,rope,1.5169925938967932,0.6270603319974665,1.6008503391874378,-1.5167091546587461,-2.4689066117678333,1.140533662452421,0.0
25,rope,1.9529791779685342,0.6574734650184436,1.843668761932435,-1.582528949495154,-2.475801845854157,1.1892499260246103,0.0
26,rope,2.3916826273087155,0.6818271513771932,2.0824824716744583,-1.6483510209842114,-2.4827024060349348,1.2379713400137562,0.0
27,rope,1.5002902202789903,-0.6248629843809007,1.6773792306659732,1.4261043902660564,-2.56767249569318,-1.034496324078622,0.0
28,rope,1.9152755970345614,-0.617630904629801,1.9375999318961308,1.4113264766412132,-2.6476833977860137,-1.0229488613511688,0.0
29,rope,2.3345701528688183,-0.6026924604432915,2.168523117667557,1.3965508471371137,-2.7276970390500574,-1.0114033473244848,0.0
30,rope,2.4249353584174633,-1.0158848165047571,0.9958274687741107,2.364720597536364,0.8882601166666322,-1.803595050828942,48.72971595292515
31,rope,2.8452874325280386,-1.051094943464342,1.2648987177617126,2.471609108892535,0.8387426843125311,-1.8123974485363998,48.72971595292515
32,rope,3.283205347829861,-1.0710706186266612,1.505966733478324,2.492995781910895,0.7977376760186652,-1.8732669262671955,48.72971595292515
33,ring,3.490435592657154,-0.002754787558357472,1.828936605567874,-0.044063232271421976,0.7072940602023959,0.21086315513377374,0.0
34,rope,4.770957606346707,-0.16319088421698735,1.4436096282216786,0.295476382655148,3.295686980775197,-0.2394990718172839,0.0
35,rope,5.208489598057684,-0.23704108627632925,1.6747064708816155,0.37485756970715534,3.31927301199332,-0.3072886583370262,0.0
36,rope,5.650596599863522,-0.2613876318299768,1.9076161887790597,0.46452145680164947,3.3410619372959944,-0.36964841147218475,0.0
37,rope,4.268194390451795,1.0012265376567029,1.7957697690683996,-2.513123906728479,1.3739878577304656,1.7485564568187304,164.65774979276085
38,rope,4.717020364529978,1.0064365729898395,2.0170053223962876,-2.291779594403315,1.485793719407874,1.8448137982898372,164.65774979276085
39,rope,5.164982403263862,1.0010459124129893,2.239576140675454,-2.5174465689556653,1.5976037097058966,1.7217219404935198,164.65774979276085
40,rope,3.2304693703748684,0.7391160624825412,2.5420343716547906,-1.7948977754996494,-2.4444735282439005,1.346024380184636,0.0
41,rope,3.667973324304125,0.7799004996260366,2.780788352710602,-1.8756253572759796,-2.3993418953834045,1.405358552436559,0.0
42,rope,4.105822024797812,0.8137640473092018,3.0203142064807897,-1.956294731666426,-2.35421150820056,1.464732153705209,0.0
43,rope,3.1037071154218823,-0.5951959072978978,2.696185562978934,1.3226760895968819,-2.889044348710563,-0.9555310912869378,0.0
44,rope,3.5098035957815914,-0.5611311823589578,2.957049885530537,1.2635672927108164,-2.9703821339908734,-0.911197183886815,0.0
45,rope,3.932073716306369,-0.5484477417383821,3.188723524510092,1.2044631638719008,-3.0517236182049663,-0.8668666617115448,0.0
46,rope,4.067011486263697,-1.1060858855151003,2.0114597467667235,2.62329722878809,0.6585560899410654,-1.928450377331475,0.0
47,rope,4.459809156691621,-1.1391745659489143,2.3195290506641255,2.64059959234279,0.5648895049185535,-1.9811795610906229,0.0
48,rope,4.891241106204686,-1.1775393004621515,2.5699329109719184,2.700252607043179,0.46819331947172116,-2.0007915680323354,0.0
49,ring,5.15693315582574,0.006880325982970524,2.8154018312412967,0.01006099504535627,0.49644389484424073,0.1286958354006284,0.0
50,rope,6.477883340635221,-0.34059171113272363,2.3882611740932482,0.6437663251106185,3.372704317465539,-0.5019487182597407,0.0
51,rope,6.9025980679891,-0.430488921247311,2.6369266412098593,0.7396824883938125,3.381869119622223,-0.568500944467713,0.0
52,rope,7.34075569914531,-0.4550537770314373,2.8771508563134915,0.8246981789840951,3.391563550026153,-0.6410122297369877,0.0
53,rope,6.061352071381767,0.9960199554546401,2.6831982662927114,-2.505407278867587,1.8166743977848419,1.692734563748878,229.80382366145918
54,rope,6.509386584443996,0.9950767718303805,2.9061946893921915,-2.190119244665071,1.9249359123180025,1.8192936778979862,229.80382366145918
55,rope,6.95493283812564,0.9812389687359981,3.1331500251376236,-2.4823005330601493,2.0464594860383833,1.6447412249059203,229.80382366145918
56,rope,4.950705955867182,0.8791062122864343,3.481525397096163,-2.1165342009357406,-2.2490053343704606,1.5823110750126088,0.0
57,rope,5.3858990414055254,0.9140478259939433,3.7254947412289914,-2.1955651683493067,-2.188889089038312,1.6408119104303291,0.0
58,rope,5.823782600707656,0.9465075733287376,3.9653034328011985,-2.275655653302326,-2.1288557513265434,1.6987480792785574,0.0
59,rope,4.669368420122182,-0.4772068657950833,3.7297213216289675,1.0752104361937675,-3.2082006830138887,-0.7700880962364294,0.0
60,rope,5.077547962252899,-0.42597484160098725,4.000527267228244,1.0050550407596632,-3.283340129356073,-0.7176348288318319,0.0
61,rope,5.50634164093837,-0.41963572069229066,4.241858826485385,0.934903730997564,-3.3584840630174218,-0.6651845212784007,0.0
62,rope,5.627953271622762,-1.1957366026712914,3.0781728607229963,2.759384414700534,0.2708472283256244,-2.0777749465908646,31.69293980162849
63,rope,6.004482272772471,-1.217414103203533,3.4069263965552095,2.8279730012069155,0.15865429347067325,-2.0779605148893636,31.69293980162849
64,rope,6.432663449881933,-1.25765809836514,3.66252577835705,2.841468383679646,0.05428973757806451,-2.117046763801093,31.69293980162849
65,ring,6.816766154224582,-0.0027177386166814628,3.807213015841267,-0.06581669082678408,0.6561394667614651,0.22903845252005442,0.0
66,rope,8.14607185934739,-0.5194514817900698,3.384720356480608,1.0297856934630096,3.3939567721167125,-0.7916511837054029,0.30948122050466426
67,rope,8.553992030705556,-0.6223047351560203,3.655502567292035,1.149276427431486,3.385236510753958,-0.8694632766172912,0.30948122050466426
68,rope,8.980257111877355,-0.6429064821888346,3.9165875730362174,1.2509483751773822,3.378035435421982,-0.9581430536462636,0.30948122050466426
69,rope,7.846141216141215,0.9563780073663193,3.586518185968268,-2.437953367357725,2.2858460709641175,1.5944556415007958,290.24683808648433
70,rope,8.291919875697278,0.949214651437172,3.8139739267986803,-2.033181007083851,2.4066191996515376,1.748212133560826,290.24683808648433
71,rope,8.73322568327801,0.9327853405807262,4.0488513626811695,-2.3747224500451867,2.5492384884338906,1.516921702216538,290.24683808648433
72,rope,6.678766974540723,1.0261314826844365,4.43281516916051,-2.4419671775611316,-1.9809492243848372,1.8208411353440688,0.0
73,rope,7.112980532758075,1.0681787299743333,4.676964021683047,-2.52904411920443,-1.8931366232619051,1.884537394928441,0.0
74,rope,7.548089370893994,1.1042306411580578,4.920695611177922,-2.616125750110463,-1.8053289385879117,1.9482429772293983,0.0
75,rope,6.235197877188828,-0.3282538667343415,4.7998659720568355,0.7710754772918659,-3.5090990358527416,-0.542887729721731,0.0
76,rope,6.634496146649561,-0.2652515310147511,5.078824719675188,0.6773911515745584,-3.584570129081234,-0.4730358293419298,0.0
77,rope,7.055373131667538,-0.2501533397017873,5.3298800071864365,0.5837110711014579,-3.660047365059877,-0.4031864874349617,0.0
78,rope,7.151292503278585,-1.2611599239945672,4.182322818006545,2.8984138564504383,-0.18440915753556214,-2.17742486621245,30.984548467091756
79,rope,7.5128574094784195,-1.2704128121683524,4.52802151776495,2.957715814365901,-0.32300700633233204,-2.170930563865049,30.984548467091756
80,rope,7.935540309201225,-1.3007118904153645,4.793938496208735,2.9660086869408504,-0.45592622476022476,-2.2043193872295914,30.984548467091756
81,ring,8.44389286863991,0.0018048078581971892,4.841185477778256,-0.13416710857946623,0.4366090795948015,0.21607177277980635,0.0
82,rope,9.762502681009748,-0.7019916363940224,4.435242183095282,1.479161655256232,3.3489924191128955,-1.1302801069830937,5.620709551088861
83,rope,10.156810990279046,-0.8015969349467953,4.7266253789361725,1.6119221085155528,3.32282819518859,-1.209013306058183,5.620709551088861
84,rope,10.571715445807019,-0.8180061575377764,5.005687884592863,1.7182454256702655,3.299638656390874,-1.305297312344456,5.620709551088861
85,rope,9.615619519950314,0.8891131482112078,4.516810258384582,-2.273441630971995,2.8116891045219425,1.456793276764137,302.7913549343558
86,rope,10.056306649116905,0.8683416038512783,4.753196226609161,-1.844810949174911,2.9300574362322096,1.6132621293520153,302.7913549343558
87,rope,10.490104682341567,0.8461462914144443,5.001210224679556,-2.174433873957761,3.08158188130637,1.3561479196284607,302.7913549343558
88,rope,8.406727328368573,1.1887090511914271,5.406070492516962,-2.7886394287405505,-1.6115194227596439,2.074287605928273,0.0
89,rope,8.836852626378446,1.2317085822267217,5.656983611203215,-2.874068434563557,-1.5055151316793154,2.136623743653617,0.0
90,rope,9.267189037801334,1.2610099359699871,5.909488546066654,-2.959503724612403,-1.3995150404921655,2.198971009023397,0.0
91,rope,7.781373889401644,-0.1407825736470694,5.8929656603878335,0.38294333800555425,-3.8033476131986896,-0.2536349076354882,0.0
92,rope,8.170408277659302,-0.0683515866692242,6.178359212694839,0.27584933427138775,-3.8711680095683585,-0.17392817630996033,0.0
93,rope,8.580653736237872,-0.05273475667731178,6.444690140628578,0.1687585805360846,-3.938996223894839,-0.09422272737816165,0.0
94,rope,8.628836299639357,-1.3004557098760026,5.329611548380763,2.9975361468038013,-0.7351734383470881,-2.2608858957880913,45.35334997633502
95,rope,8.978888916798995,-1.301293942340075,5.687095852298628,3.0575711957891407,-0.8873570325119213,-2.2358345491211735,45.35334997633502
96,rope,9.393884926050706,-1.3118306906278925,5.966302791314342,3.04963186892818,-1.0345611494209235,-2.2667975242320004,45.35334997633502
97,ring,10.044901714048681,0.0055754434654607336,5.920617901108122,-0.3814954131896156,0.6737423126008351,0.46464678783130364,0.0
98,rope,11.324070583690267,-0.8817156866414305,5.557955760724364,1.9868181442095034,3.2359199033359367,-1.4726339936048813,0.0
99,rope,11.705155162855496,-0.9778779768872233,5.867496513162632,2.0803252658382125,3.207877045117081,-1.5987211189446229,0.0
100,rope,12.1055160926156,-1.002112354156886,6.166552083466009,2.232384729561418,3.1650547195078036,-1.6761866877763698,0.0
101,rope,11.352081055442149,0.7952702709485222,5.503189984870883,-2.023764818793376,3.353617796824555,1.2873080085741284,267.6303786410038
102,rope,11.777400835760368,0.7600767850856303,5.764636959656079,-1.6346193622970424,3.4807171861347026,1.4203846130236706,267.6303786410038
103,rope,12.198563998685646,0.7341594553515765,6.033244917567973,-1.888119275777235,3.639992152928021,1.1677080846994579,267.6303786410038
104,rope,10.122634978027671,1.333031629885049,6.419505709671856,-3.132820503835674,-1.1688853396994985,2.32532351092668,0.0
105,rope,10.547539219529394,1.3720516323282543,6.6804927283090665,-3.2206998127814157,-1.0442510458988037,2.389326633257466,0.0
106,rope,10.97051444628533,1.393349517723092,6.946588084514892,-3.3085876592508012,-0.9196201500219535,2.4533436909742043,0.0
107,rope,9.309621601848153,0.06121321524059765,7.018406162605873,-0.06041338634137145,-4.071709099924918,0.07624779550605859,0.0
108,rope,9.6900588415092,0.14104741518447303,7.315287962489755,-0.18250079463278587,-4.136587948239941,0.16701674783007697,0.0
109,rope,10.09049271619827,0.1622468023997673,7.5957509293409196,-0.30458599559628197,-4.201476134143568,0.25778663669757423,0.0
110,rope,10.064258303139582,-1.310090334775526,6.5342392772429,3.09739668682636,-1.346359850791572,-2.2764379954821696,3.2396627354584737
111,rope,10.401961614899502,-1.3070460042873058,6.903359777993756,3.0953125951569334,-1.5124179497514731,-2.299950654230712,3.2396627354584737
112,rope,10.797853445520706,-1.3049789359807997,7.2071077264655585,3.120358353981798,-1.6770382302178002,-2.2940761003959667,3.2396627354584737
113,ring,11.605040491146978,0.0071326533283791235,7.069796696136612,-0.08914150742734167,0.42975418493768613,-0.17877062379483968,0.0
