# v12_5kw_v3 telemetry  length=21.0  min_clearance=1.5
island,gen,idx,fitness,status,P_kW,FoS,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,clearance,tether
1,7,3,1.0e9,reject,0.0,0.0,15,0,0,0.78,0.32,13.8,20.2,0.394,0.358,4.6,21.0
1,7,4,1.0e9,clearance_reject,0.0,0.0,15,0,0,1.33,0.32,14.8,15.9,0.283,0.455,0.53,21.0
1,7,5,1.418,ok,12.93,3.09,13,0,0,1.5,0.79,17.9,10.1,0.588,0.443,5.4,21.0
1,7,6,1.0e9,clearance_reject,0.0,0.0,16,0,0,0.66,0.32,13.9,21.3,0.377,0.323,1.04,21.0
1,7,7,1.0e9,clearance_reject,0.0,0.0,15,0,0,1.85,0.5,12.8,11.1,0.616,0.418,-1.43,21.0
1,7,8,2.134,ok,4.6,2.99,14,0,0,2.2,0.68,18.9,15.6,0.737,0.753,4.54,21.0
1,7,9,1.0e9,clearance_reject,0.0,0.0,13,0,0,1.71,0.32,18.8,15.3,0.274,0.05,0.45,21.0
1,7,10,1.0e9,clearance_reject,0.0,0.0,13,0,0,1.6,0.63,16.1,9.9,0.104,0.05,0.45,21.0
1,8,1,1.0e9,clearance_reject,0.0,0.0,12,0,0,1.69,0.34,15.4,22.0,0.767,0.485,-1.61,21.0
1,8,2,0.441,ok,13.18,6.39,16,0,0,2.18,0.95,19.1,0.4,0.266,0.825,6.95,21.0
1,8,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,2.06,0.35,12.9,18.7,0.501,0.119,0.32,21.0
1,8,4,1.0e9,clearance_reject,0.0,0.0,14,0,0,1.7,0.32,15.5,18.1,0.935,0.473,0.9,21.0
1,8,5,-0.308,ok,12.0,6.71,16,0,0,2.2,0.95,19.7,1.8,0.367,0.825,6.4,21.0
1,8,6,1.727,ok,13.92,8.72,15,0,0,1.99,0.66,18.6,2.5,0.26,0.283,7.02,21.0
1,8,7,1.0e9,clearance_reject,0.0,0.0,15,0,0,1.55,0.32,19.2,12.0,0.169,0.769,-3.47,21.0
1,8,8,1.0e9,clearance_reject,0.0,0.0,15,0,0,1.4,0.32,19.9,15.6,0.104,0.324,1.2,21.0
1,8,9,1.0e9,clearance_reject,0.0,0.0,13,0,0,1.89,0.32,16.0,15.3,1.0,0.05,0.45,21.0
1,8,10,0.655,ok,11.61,4.77,15,0,0,1.63,0.32,18.4,9.9,0.569,0.05,5.35,21.0
1,9,1,0.552,ok,14.0,4.56,15,0,0,2.2,0.74,21.8,0.0,0.104,0.572,7.86,21.0
1,9,2,1.0e9,clearance_reject,0.0,0.0,15,0,0,2.18,0.32,13.1,22.0,0.802,0.05,0.42,21.0
1,9,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,2.2,0.32,12.9,7.8,0.372,1.0,-4.68,21.0
1,9,4,-1.434,ok,5.25,4.1,12,0,0,2.16,0.95,15.6,9.6,0.737,1.0,4.74,21.0
1,9,5,0.025,ok,15.52,3.57,15,0,0,1.92,0.56,21.9,0.0,0.214,0.739,7.27,21.0
1,9,6,0.217,ok,15.67,2.32,16,0,0,1.69,0.36,14.8,9.4,0.304,0.234,6.74,21.0
1,9,7,1.0e9,reject,0.0,0.0,16,0,0,1.87,0.32,16.7,12.9,0.927,0.909,3.31,21.0
1,9,8,4.831,ok,3.4,1.95,16,0,0,2.13,0.65,22.0,0.0,0.737,1.0,4.36,21.0
1,9,9,2.359,ok,14.21,6.77,16,0,0,1.89,0.32,16.0,13.1,0.104,0.05,7.85,21.0
1,9,10,-0.557,ok,9.64,2.05,16,0,0,1.9,0.32,22.0,0.0,0.569,0.972,5.28,21.0
1,10,1,4.022,ok,5.16,2.74,13,0,0,2.2,0.74,20.7,0.0,0.736,1.0,4.64,21.0
1,10,2,-0.743,ok,13.54,3.0,15,0,0,1.87,0.32,22.0,3.1,0.459,0.825,5.94,21.0
1,10,3,6.365,ok,6.65,1.71,14,0,0,1.72,0.32,20.4,6.9,0.739,0.358,4.53,21.0
1,10,4,0.809,ok,15.22,6.32,14,0,0,2.16,0.5,20.1,9.6,0.194,0.05,7.4,21.0
1,10,5,-3.549,ok,8.21,5.67,13,0,0,2.2,0.93,18.8,15.6,0.588,0.524,5.4,21.0
1,10,6,1.0e9,clearance_reject,0.0,0.0,16,0,0,1.67,0.32,20.1,11.3,0.104,0.05,0.41,21.0
1,10,7,0.485,ok,13.15,6.64,16,0,0,2.2,0.95,22.0,5.3,0.265,0.05,6.96,21.0
1,10,8,1.427,ok,5.53,2.59,16,0,0,1.64,0.32,16.2,15.4,0.737,0.753,4.36,21.0
1,10,9,0.284,ok,12.62,7.4,16,0,0,2.2,0.74,21.8,0.0,0.323,1.0,6.64,21.0
1,10,10,-0.239,ok,8.88,4.95,13,0,0,2.2,0.32,20.6,0.0,0.506,0.972,5.82,21.0
1,11,1,-1.978,ok,8.63,6.61,15,0,0,2.18,0.66,21.7,0.0,0.57,1.0,5.35,21.0
1,11,2,-0.208,ok,14.64,3.48,16,0,0,1.88,0.37,22.0,12.9,0.104,0.05,7.85,21.0
1,11,3,-2.76,ok,7.75,6.29,15,0,0,1.97,0.32,12.9,3.1,0.641,0.358,4.96,21.0
1,11,4,1.0e9,reject,0.0,0.0,16,0,0,1.73,0.95,15.2,9.6,0.737,0.582,4.35,21.0
1,11,5,-0.414,ok,12.85,5.43,16,0,0,2.04,0.93,15.3,2.3,0.376,0.525,6.35,21.0
1,11,6,1.269,ok,15.14,5.26,16,0,0,1.65,0.32,22.0,9.2,0.26,0.753,6.99,21.0
1,11,7,0.551,ok,13.36,6.74,16,0,0,2.2,0.66,21.7,0.0,0.185,1.0,7.41,21.0
1,11,8,-1.541,ok,8.38,3.18,13,0,0,2.13,0.93,18.8,8.8,0.628,0.753,5.2,21.0
1,11,9,4.313,ok,4.37,1.56,16,0,0,2.0,0.61,17.4,1.1,0.727,1.0,4.41,21.0
1,11,10,1.272,ok,4.16,2.37,15,0,0,2.17,0.32,12.7,0.0,0.724,0.927,4.51,21.0
1,12,1,-0.117,ok,15.94,2.65,15,0,0,1.71,0.66,22.0,10.1,0.104,0.239,7.86,21.0
1,12,2,-0.363,ok,9.67,4.0,14,0,0,2.03,0.32,17.3,11.7,0.503,0.63,5.77,21.0
1,12,3,3.286,ok,4.94,5.07,11,0,0,2.2,0.32,13.9,12.7,0.829,0.96,4.4,21.0
1,12,4,1.147,ok,4.69,2.81,14,0,0,2.18,0.95,15.6,0.0,0.734,1.0,4.55,21.0
1,12,5,-0.325,ok,5.61,3.06,14,0,0,2.2,0.93,11.3,7.9,0.673,0.223,4.88,21.0
1,12,6,-0.126,ok,13.75,4.35,16,0,0,2.05,0.43,22.0,0.0,0.314,1.0,6.69,21.0
1,12,7,-0.605,ok,14.14,3.52,15,0,0,1.87,0.32,22.0,7.2,0.435,0.685,6.08,21.0
1,12,8,1.119,ok,15.73,6.75,13,0,0,2.2,0.82,21.8,0.0,0.221,1.0,7.29,21.0
1,12,9,0.242,ok,12.66,7.47,16,0,0,2.2,0.32,22.0,2.8,0.323,0.797,6.64,21.0
1,12,10,-1.791,ok,9.35,7.35,16,0,0,2.02,0.32,22.0,12.2,0.569,1.0,5.28,21.0
1,13,1,-1.356,ok,6.14,4.65,12,0,0,2.06,0.84,18.8,18.0,0.704,0.385,4.9,21.0
1,13,2,2.795,ok,5.58,3.18,12,0,0,2.11,0.32,15.6,5.1,0.764,1.0,4.61,21.0
1,13,3,0.92,ok,5.55,4.62,12,0,0,2.2,0.32,16.7,16.6,0.715,0.358,4.85,21.0
1,13,4,1.364,ok,17.22,6.72,12,0,0,2.09,0.95,22.0,9.6,0.122,1.0,7.81,21.0
1,13,5,-3.641,ok,8.18,5.2,13,0,0,2.2,0.49,18.8,8.8,0.588,0.524,5.4,21.0
1,13,6,0.359,ok,12.64,6.5,16,0,0,2.17,0.32,12.9,2.9,0.314,0.341,6.69,21.0
1,13,7,-0.488,ok,13.19,4.12,14,0,0,2.04,0.62,18.1,6.1,0.421,1.0,6.2,21.0
1,13,8,-0.157,ok,14.81,3.12,16,0,0,1.92,0.39,22.0,1.2,0.26,0.753,6.99,21.0
1,13,9,2.947,ok,2.36,1.5,16,0,0,2.2,0.95,17.3,6.6,0.863,1.0,3.66,21.0
1,13,10,-1.895,ok,9.28,4.65,16,0,0,2.02,0.53,22.0,7.3,0.569,0.554,5.28,21.0
1,14,1,6.775,ok,3.96,2.19,13,0,0,2.02,0.63,21.7,8.5,0.836,0.205,4.13,21.0
1,14,2,2.849,ok,4.54,2.71,16,0,0,2.2,0.32,21.7,0.0,0.655,0.917,4.81,21.0
1,14,3,-0.75,ok,8.89,4.66,14,0,0,1.98,0.32,20.4,10.4,0.641,0.531,5.04,21.0
1,14,4,3.49,ok,5.42,2.37,15,0,0,2.16,0.65,20.0,8.3,0.668,0.451,4.82,21.0
1,14,5,5.914,ok,4.02,1.72,12,0,0,2.03,0.95,15.6,8.8,0.912,0.828,3.87,21.0
