rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
75,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370499,2.3324427273360198,0.7,0.010000000000000002
76,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337047,2.8529357304775185,0.6999999999999998,0.010000000000000004
77,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370507,2.2648718735311086,0.6999999999999998,0.010000000000000005
78,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370476,2.7157134965617424,0.7,0.010000000000000004
79,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835122,0.02,1.0,0.18632615883370432,1.6176954800188075,0.7,0.010000000000000005
80,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337049,3.1042969653234826,0.6999999999999998,0.010000000000000002
81,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370507,1.58080913970216,0.7,0.010000000000000004
82,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337049,2.018196581490952,0.7,0.010000000000000002
83,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370468,2.9621827339608435,0.6999999999999998,0.01
84,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.1863261588337045,1.697974921916157,0.7,0.010000000000000005
85,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370512,0.9889843789757116,0.7,0.010000000000000004
86,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370496,0.47826728563420573,0.7,0.010000000000000002
87,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370468,0.6039730445945892,0.6999999999999998,0.010000000000000002
88,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.1863261588337045,3.4008434036454105,0.7,0.01
89,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.1863261588337052,1.2629277130601846,0.7,0.010000000000000002
90,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370507,2.01822526924357,0.6999999999999998,0.010000000000000002
91,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370524,3.0497362964796215,0.6999999999999998,0.010000000000000004
92,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337047,3.1404487069073475,0.6999999999999998,0.010000000000000005
93,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370468,0.7276738453782399,0.6999999999999998,0.010000000000000002
94,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370496,2.2817277031954633,0.7,0.010000000000000002
95,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.1863261588337051,2.485386514285124,0.7,0.010000000000000002
96,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370499,3.071522266822768,0.7,0.010000000000000004
97,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370487,0.9577506545853521,0.6999999999999998,0.010000000000000002
98,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370449,1.087110975722122,0.7,0.010000000000000002
99,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370454,1.5282991439948095,0.7,0.010000000000000004
100,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337049,2.7636095401622933,0.7,0.010000000000000004
101,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370449,2.2867631212411776,0.6999999999999998,0.010000000000000002
102,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370512,1.5828213140933656,0.6999999999999998,0.01
103,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337049,1.1744377787512486,0.6999999999999998,0.010000000000000002
104,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370518,3.362173080864255,0.7,0.010000000000000002
105,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370518,1.0246555839475497,0.7,0.010000000000000005
106,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337051,1.5370359413892378,0.7,0.010000000000000002
107,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.186326158833705,1.6757542197682855,0.7,0.010000000000000005
108,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370468,0.8408539997609852,0.7,0.010000000000000004
109,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370485,1.6861760812762445,0.7,0.01
110,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370482,3.0952523104063197,0.7,0.010000000000000005
111,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370449,1.7639209330223362,0.6999999999999998,0.010000000000000005
112,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370487,2.4449437956817133,0.7,0.010000000000000004
113,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370507,1.1299121562510228,0.7,0.010000000000000002
114,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370449,2.126787550227058,0.7,0.01
115,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370468,3.1116157929838506,0.7,0.010000000000000005
116,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370496,3.06216057227469,0.7,0.010000000000000002
117,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370485,0.8841605962074706,0.7,0.01
118,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370512,3.0799800802724486,0.7,0.01
119,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337049,3.0069189164168995,0.7,0.010000000000000005
120,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370499,1.1929157402411377,0.7,0.01
121,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370474,0.9558809973973021,0.6999999999999998,0.010000000000000004
122,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.1863261588337048,0.4743128679880366,0.7,0.01
123,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.18632615883370474,1.5733128635695537,0.7,0.010000000000000004
124,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370512,2.083820402202114,0.7,0.010000000000000002
125,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337049,2.5292826416330314,0.7,0.010000000000000002
126,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370535,1.6861760812762445,0.7,0.010000000000000004
127,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.186326158833705,2.341541013378052,0.6999999999999998,0.010000000000000004
128,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370487,2.0432532577497513,0.7,0.010000000000000004
129,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370482,2.892902176306028,0.6999999999999998,0.010000000000000002
130,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370512,2.2867631212411776,0.6999999999999998,0.010000000000000005
131,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337049,2.4167957285319694,0.7,0.010000000000000002
132,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370537,1.864597237690106,0.7,0.010000000000000004
133,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.1863261588337047,2.1013656539596397,0.7,0.01
134,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370482,2.7293528310520454,0.7,0.010000000000000002
135,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370499,2.6349059938677204,0.7,0.010000000000000004
136,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370524,2.252012541433467,0.6999999999999998,0.010000000000000002
137,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370476,2.5890440271567265,0.7,0.010000000000000004
138,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337051,1.933064872845144,0.7,0.010000000000000005
139,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370518,3.217212152509623,0.7,0.010000000000000002
140,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337051,2.541703120050082,0.6999999999999998,0.010000000000000002
141,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370449,2.5654509983980525,0.7,0.010000000000000004
142,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370476,2.675630547959218,0.7,0.010000000000000004
143,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.1863261588337045,1.626626568935798,0.7,0.010000000000000005
144,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337049,1.0451455809006924,0.7,0.010000000000000002
145,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370482,3.3781009845562835,0.7,0.010000000000000002
146,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370474,3.2515594931899403,0.7,0.010000000000000002
147,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835122,0.02,1.0,0.18632615883370432,1.7377411490902004,0.7,0.010000000000000004
148,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.18632615883370468,2.718148707193152,0.7,0.010000000000000004
149,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370496,1.6861760812762445,0.7,0.010000000000000002
150,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370482,0.4956070370069232,0.7,0.01
151,2.807795734499085,1.800000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370462,2.5132382383283103,0.6999999999999998,0.010000000000000004
152,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.18632615883370449,0.4620854959087006,0.7,0.010000000000000004
153,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370499,2.958296094217638,0.7,0.010000000000000002
154,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.1863261588337048,3.1254188738964195,0.6999999999999998,0.010000000000000002
