island,mass_kg,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
18,24.66448673740394,0.023970752526523344,0.011045657541865263,0.366868209523457,0.0,7.238028229505492,4.984853335100426,0.8580878698732886,3.0,-0.06674336721254823,11.64363866801006,33.73007304052191,0.020836546131725288
19,24.427646602824503,0.016106265921598868,0.031043549765627166,0.9999956579992251,2.9645686057696545e-8,7.255628712628213,4.99999999414011,0.828043622284594,3.1404529242371915,-0.09470905680071998,11.571720329561668,34.99997527010495,0.02
20,24.482892863004466,0.02129286353965918,0.01687411179196482,0.5403455115531849,0.0033505575510842066,7.109421057074157,5.0,0.8671651160192686,3.1291642454111432,-0.03146037569882443,11.936823452278391,32.90349508947197,0.021411131437623014
21,24.39865970300361,0.016352255734762056,0.029441759708354213,0.9986507456151127,0.0,7.106036694497433,5.0,0.8770077647793216,3.386575532608455,-0.030058820291665973,11.824373263129276,35.0,0.021638623034626003
22,24.39794673944339,0.01634068397395468,0.03057861818740573,0.9999195619065055,1.6323682420107092e-7,7.104644008920672,4.999995461473839,0.8574758344687885,3.2687778861625354,-0.029449818681828235,11.604468477530931,35.0,0.021655336035240013
23,24.502402454436528,0.01088839405447039,0.09651236680813209,0.5868487452351876,1.674904749363714e-5,7.0968446842062916,5.0,0.8442218647114355,3.4274798771934973,-0.030907102430320074,11.87398037732699,35.0,0.021675181687906
24,24.398207224135085,0.01634444077484594,0.03031421011399261,0.9994064818677499,4.322923122252441e-5,7.105438900349218,4.999999914363477,0.872562242568233,3.41735752422211,-0.02985033071622324,11.705627326217215,34.99879023399217,0.02164481496028062
25,24.47971455649052,0.012440317097559599,0.053403740040488756,1.003052382506459,8.006256286764454e-7,7.252348135578462,4.9999905316325375,0.8540600723491028,3.1147665340651134,-0.09597306854325437,12.0,34.98485480282443,0.02
26,24.42932374987769,0.01428531199336741,0.04054666872200629,0.9998279570574925,1.2257809327418263e-5,7.104609808782798,5.0,0.8328174305397402,3.208006422420361,-0.031128385533758848,11.778649622004751,34.98796567485476,0.021628057619106345
27,24.397765052199368,0.016340436895103866,0.030593952553437675,0.9999985408635369,0.0,7.104283603528183,5.0,0.8710609265898771,3.0871776043804786,-0.029310804155224766,11.660809049258573,34.99995657133931,0.02165932335923447
28,24.447249630733857,0.021597350312209575,0.02287457575093387,0.5117644452251818,5.0905206748687806e-6,7.102432834578939,4.9999147040681295,0.8361947650980601,3.3299984466731343,-0.029849994253466742,11.548641825598494,34.98410888011617,0.021661394945650236
29,24.397761364557972,0.016340477099266344,0.03059839404874087,0.9999973019212697,8.622756487612758e-8,7.104257543420544,5.0,0.8600119539332123,3.160773126485549,-0.02929902954636938,11.835470590493845,34.99994253783523,0.02165963881171662
30,24.397768496910246,0.016340382624134325,0.030596635311956992,1.0000091174934105,0.0,7.104264017986813,5.0,0.88744615125142,3.083577327985911,-0.029301246540822383,11.995961706242586,34.999551306305065,0.021659533331118166
31,24.47346489836611,0.010603207008669806,0.07177300027593121,1.1204729355339045,7.024039737022286e-7,7.094423183831177,4.999999978153778,0.8838840690099528,3.0,-0.028980271075728373,12.0,34.999936680697964,0.021716277615043456
32,24.43307496355154,0.019218961895969076,0.022749049105596088,0.7016990271742342,0.0,7.105779773736537,5.0,0.8606448869238245,3.388223088654277,-0.029606576416736675,11.778310610213099,34.87650815447301,0.02165830102031398
33,24.398535501183922,0.016338356656751405,0.03018749611633581,0.9999699305369911,0.0,7.1066959256855915,4.999994433202428,0.854974159839935,3.1437968197806425,-0.03032932197210965,11.59840825602313,35.0,0.02163224291043264
34,1.0000273184348705e6,0.016329791067592185,0.01,0.9953870935617097,0.0,6.976355503203482,4.986851958341153,0.8579196648843591,3.105607736008651,-0.049369793658827266,12.0,35.0,0.02
35,24.397762199787643,0.016340488724762403,0.030597636367048823,0.9999962741821493,0.0,7.104257268463119,4.999999925986727,0.874338392283208,3.1333361003129223,-0.0292987711144219,11.81467158794286,34.99995664007997,0.02165964828462509
36,24.412297768661794,0.0173542306146759,0.027904759725088907,0.8810060436696965,0.00015282061731448964,7.118643424959605,5.0,0.8605753698224972,3.0,-0.034971636017321325,11.75582176967106,35.0,0.02149990948507918
37,60.12704161624812,0.08052515503041899,0.010503839524000198,1.22561177175115,0.3842979261370171,5.396543945697816,1.2470481310594128,2.1828792003430424,3.0,-0.15405911940253925,12.0,26.077950391434197,0.10785607998438565
38,24.397820077037558,0.016340305246969233,0.030571895904948368,0.9999991617573772,0.0,7.1044241791982525,4.9999988234381885,0.8410416967813713,3.0755404065554393,-0.02936843768090422,11.64794945310695,35.0,0.021657847562899554
