n_slack,case,delta_alpha_deg,P_kw,tau_gen,backline_payout,omega_hub,t,omega_gnd,T_gnd_avg
0,Mode 1 Baseline,146.09770241803153,7.203761649948326,1009.4004815801039,0.0,9.700215074965241,0.29000000000001835,7.136673482334426,1049.8889465930718
0,Mode 1 Baseline,147.66459554014045,7.388197977678064,1011.5448681531517,0.0,9.702537071737728,0.3000000000000145,7.303875695763465,1038.1507784214712
0,Mode 1 Baseline,149.1429186367332,7.551321396039714,1013.4934813351944,0.0,9.704893678195509,0.3100000000000106,7.450784376127874,1026.4203412913253
0,Mode 1 Baseline,150.5436191454838,7.6971278275551205,1015.2809684603692,0.0,9.70726451555437,0.3200000000000067,7.581278549156191,1015.0878149442563
0,Mode 1 Baseline,151.87578919345927,7.8251011335236065,1016.9006926358634,0.0,9.709632140609013,0.33000000000000285,7.695049467653038,1004.1015885026443
0,Mode 1 Baseline,153.1486390786125,7.938003798658589,1018.3694413271099,0.0,9.7119454184784,0.33999999999999897,7.794817358535434,993.6446566623057
0,Mode 1 Baseline,154.36962541364358,8.036241479527968,1019.6969011841519,0.0,9.714230941126756,0.3499999999999951,7.881010004243079,983.6309092986563
0,Mode 1 Baseline,155.54639883384573,8.121659436899403,1020.896199344412,0.0,9.716465111032866,0.3599999999999912,7.955421366163262,974.1314665816351
0,Mode 1 Baseline,156.68488847288612,8.196013131866966,1022.0004803637894,0.0,9.718735661624397,0.36999999999998734,8.019578551420572,965.1059368164695
0,Mode 1 Baseline,157.79092583418236,8.260907242768994,1023.0261260196297,0.0,9.721049816912323,0.37999999999998346,8.074971921695072,956.5785997724364
0,Mode 1 Baseline,158.8685376188407,8.319311796400322,1024.0210037526126,0.0,9.72351675251838,0.3899999999999796,8.124161287623489,948.5588255410905
0,Mode 1 Baseline,159.92131989040163,8.372452191007234,1024.996438470257,0.0,9.726136577789969,0.3999999999999757,8.168274422009304,941.0193776076567
0,Mode 1 Baseline,160.95125760480695,8.423471291913108,1025.9961461757434,0.0,9.728989593773141,0.40999999999997183,8.210041844026817,933.9749518018125
