run_id,wind_speed,payout_duration,field_imu,damping_mode,active_winch,payout_base_m,mppt_stall,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
45,11.0,15.0,1,0,1,25.0,0,70.0,30.0,4200.906407239066,1.9386392741053737,0.0,2684.2171219062147,3038.5064306242552,1500,23.41955999979006,1,-0.23154206981671044,0.0,23.419999999790043,24.85033147153386,2615.5658921493055,1376.9263897326841,954.9049048771074,0.6301194098778282,0.11815929269963636,1,ring_buckling,4201.875726876118,-300000.0,-99999.0
46,11.0,15.0,1,0,1,25.0,0,85.0,30.0,13159.358996489813,3.782428247180982,0.0,3358.755826522304,5136.156470696705,1500,24.38843999975338,1,-0.10170411960397,0.0,24.399999999752943,3.053851810322982,8186.5236551851285,6.074243691758051,0.0,0.9309767420941739,0.05920386139889724,1,slack_sky_anchor,13161.250210613403,-300000.0,-99999.0
47,11.0,15.0,1,0,1,25.0,1,70.0,30.0,9570.947705117564,1.9455892547511664,0.0,2603.096516054927,3098.8445076733456,1500,21.155079999875788,1,-0.06943346151418214,0.0,21.159999999875602,24.96554859185535,7293.712512537153,153.7416294021235,954.9049048771074,0.6301194098778282,0.11815929269963636,1,ring_buckling,9571.92049974494,-300000.0,-99999.0
48,11.0,15.0,1,0,1,25.0,1,85.0,30.0,13159.358996489813,3.782428247180982,0.0,3358.755826522304,5136.156470696705,1500,24.38843999975338,1,-0.10170411960397,0.0,24.399999999752943,3.053851810322982,8186.5236551851285,6.074243691758051,0.0,0.9309767420941739,0.05920386139889724,1,slack_sky_anchor,13161.250210613403,-300000.0,-99999.0
49,11.0,15.0,1,2,0,15.0,0,70.0,30.0,8821.41252420951,1.6381327844146496,0.0,3104.838179057476,4033.5303516360937,1500,NaN,0,9.781059796375729,9.827205213292949,NaN,14.999999999997222,4814.324978836756,1345.2561092796038,954.9030385813672,0.6609974145003292,0.09617766622125822,1,ring_buckling,8822.231590601717,-300000.0,-99999.0
50,11.0,15.0,1,2,0,15.0,0,85.0,30.0,35737.08599724985,4.7619601355805825,0.0,1576.804055622687,5800.838076482614,1500,9.895120000030955,1,0.5629250172148673,0.0,9.900000000030987,14.999999999997222,32466.90894765523,102.987145993038,0.0,1.0242424482318455,0.02040203710463153,1,slack_sky_anchor,35739.46697731764,-300000.0,-99999.0
51,11.0,15.0,1,2,0,15.0,1,70.0,30.0,52151.04526709158,1.4205871120191602,0.0,2560.167866491293,4245.435622562279,1500,24.352439999754743,1,-0.3067949649283927,0.0,24.359999999754457,14.999999999997222,20387.467229230464,0.0,954.9030385813672,1.2396268962506554,0.07755757391376128,1,ring_buckling,52151.75556064759,-300000.0,-99999.0
52,11.0,15.0,1,2,0,15.0,1,85.0,30.0,138891.71948878246,4.924542024918451,0.0,2188.993382110582,7088.562120301715,1500,10.053800000031995,1,-0.26800734505727397,0.0,10.060000000032035,14.999999999997222,113261.62865815972,88.18613820620118,0.0,1.3128795277858956,0.0180314602260245,1,slack_sky_anchor,138894.1817597949,-300000.0,-99999.0
53,11.0,15.0,1,2,0,25.0,0,70.0,30.0,7809.793100707933,1.5235233390656306,0.0,2628.738704960989,3489.71512789123,1500,NaN,0,9.707186947670184,9.76423051257555,NaN,24.999999999994444,4243.226266013591,0.0,954.9030385813672,0.6455834820206832,0.11339042236067892,1,ring_buckling,7810.554862377466,-300000.0,-99999.0
54,11.0,15.0,1,2,0,25.0,0,85.0,30.0,22291.3229076405,5.3141914018548295,0.0,1946.025105649195,6023.685082802439,1500,11.638160000042374,1,0.6491323210483431,0.0,11.640000000042386,24.999999999994444,20420.14849541343,7.385089248757962,0.0,0.9814715113901755,0.015214979705111554,1,slack_sky_anchor,22293.98000334143,-300000.0,-99999.0
55,11.0,15.0,1,2,0,25.0,1,70.0,30.0,49955.7180893416,1.4632600529262436,0.0,1744.8390316865923,3615.231441083503,1500,23.93171999977067,1,-0.41346874052291305,0.0,23.939999999770357,24.999999999994444,16690.297434749984,0.0,954.9030385813672,1.2329017320671767,0.08245713209516184,1,ring_buckling,49956.449719368065,-300000.0,-99999.0
56,11.0,15.0,1,2,0,25.0,1,85.0,30.0,37821.815047586046,4.515433907794317,0.0,2244.0000127853386,6468.787258784762,1500,12.412360000047446,1,0.0007164034107261834,0.0,12.420000000047496,24.999999999994444,31162.116294692114,46.72543609062889,0.0,1.1029435743746205,0.015214979705111554,1,slack_sky_anchor,37824.072764539946,-300000.0,-99999.0
57,11.0,15.0,1,2,1,15.0,0,70.0,30.0,7185.669184092013,0.9642648497283169,0.0,2879.8770491927626,3009.924978634431,1500,NaN,0,9.414124486684942,9.412459441181976,NaN,2.691343413267252,3922.083995964367,1577.4828211463202,954.9030385813672,0.6851340810108439,0.10779146888622679,1,ring_buckling,7186.151316516877,-300000.0,-99999.0
58,11.0,15.0,1,2,1,15.0,0,85.0,30.0,37102.32018981301,4.129400481065883,0.0,3525.398218646975,6396.482129956465,1500,23.792919999775926,1,-0.10265672424401111,0.0,23.799999999775657,9.599716008088807,10681.137582978887,10.107387898107184,40.091228580774185,1.1451804585807395,0.011222864545220127,1,slack_sky_anchor,37104.38489005354,-300000.0,-99999.0
59,11.0,15.0,1,2,1,15.0,1,70.0,30.0,7185.669184092013,0.9642648497283169,0.0,2879.8770491927626,3009.924978634431,1500,NaN,0,9.414124486684942,9.412459441181976,NaN,2.691343413267252,3922.083995964367,1577.4828211463202,954.9030385813672,0.6851340810108439,0.10779146888622679,1,ring_buckling,7186.151316516877,-300000.0,-99999.0
60,11.0,15.0,1,2,1,15.0,1,85.0,30.0,435707.3638826235,4.131988337718851,0.0,4965.121200854908,9262.358759728482,1500,NaN,0,2.834306058456126,5.069250635811065,NaN,11.311963170375833,10681.137582978887,0.0,40.091228580774185,1.6544594781738056,0.009656583457888727,1,slack_sky_anchor,435709.42987679236,-300000.0,-99999.0
61,11.0,15.0,1,2,1,25.0,0,70.0,30.0,5385.272969550439,0.6642758442896389,0.0,2459.3380121452633,2673.0918082297358,1500,NaN,0,9.39437004754038,9.39421339956486,NaN,2.046760317744523,3571.6174806140125,1594.1753045439916,954.9030385813672,0.6849574440369253,0.1474364899168416,1,ring_buckling,5385.605107472584,-300000.0,-99999.0
