island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
1,25,2,ok,-7.291,16,8,1,0.7,0.7,25.0,200.94802063972062,3146.7205959757935,2224.412579644859,0.7068986622102913
1,25,3,ok,-7.291,16,8,1,0.7,0.7,25.0,200.94702708337564,3146.7050375034883,2224.412579644859,0.7069021573784521
1,25,4,ok,-7.287,16,8,1,0.7,0.7,25.0,200.82186642535564,3144.7450997089095,2224.412579644859,0.7073427286207583
1,25,5,ok,-7.294,16,8,1,0.7,0.7,25.0,200.55815941374496,3140.615612480835,2224.412579644859,0.7082727891961764
1,25,6,ok,-7.289,16,8,1,0.7,0.7,25.0,200.95315064014792,3146.800928580965,2224.412579644859,0.7068806162606375
1,25,7,ok,-7.29,16,8,1,0.7,0.7,25.0,200.95315064014792,3146.800928580965,2224.412579644859,0.7068806162606375
1,25,8,ok,-7.302,16,8,1,0.7,0.7,25.0,200.8821458029051,3145.6890371422996,2224.412579644859,0.7071304739217408
1,25,9,ok,-7.291,16,8,1,0.7,0.7,25.0,200.85312561856938,3145.234599166462,2224.412579644859,0.7072326433883069
1,25,10,ok,-7.288,16,8,1,0.7,0.7,25.0,200.5844851839143,3141.027857612353,2224.412579644859,0.708179831724174
1,26,1,ok,-7.295,16,8,1,0.7,0.7,25.0,200.9679643618232,3147.032902217481,2224.412579644859,0.7068285107783525
1,26,2,ok,-7.293,16,8,1,0.7,0.7,25.0,200.87741501665278,3145.6149559819683,2224.412579644859,0.7071471272778402
1,26,3,ok,-7.301,16,8,1,0.7,0.7,25.0,200.90462020396083,3146.040972237053,2224.412579644859,0.7070513700472081
1,26,4,ok,-7.302,16,8,1,0.7,0.7,25.0,200.83054718109895,3144.8810349263813,2224.412579644859,0.7073121542408138
1,26,5,ok,-7.289,16,8,1,0.7,0.7,25.0,200.96983521820616,3147.062198660878,2224.412579644859,0.7068219308126098
1,26,6,ok,-7.302,16,8,1,0.7,0.7,25.0,200.72416609099724,3143.2151734454887,2224.412579644859,0.7076870201051273
1,26,7,ok,-7.291,16,8,1,0.7,0.7,25.0,200.77343686950158,3143.986723088057,2224.412579644859,0.7075133502663197
1,26,8,ok,-7.298,16,8,1,0.7,0.7,25.0,200.88260675787123,3145.6962554093975,2224.412579644859,0.7071288513058811
1,26,9,ok,-7.296,16,8,1,0.7,0.7,25.0,200.96191788519366,3146.9382181669357,2224.412579644859,0.7068497776040102
1,26,10,ok,-7.296,16,8,1,0.7,0.7,25.0,200.39967037641193,3138.133773065724,2224.412579644859,0.708832937186031
1,27,1,ok,-7.292,16,8,1,0.7,0.7,25.0,200.23362065303002,3135.5335380255456,2224.412579644859,0.7094207581162018
1,27,2,ok,-7.292,16,8,1,0.7,0.7,25.0,200.89800563692648,3145.9373922453015,2224.412579644859,0.7070746497142663
1,27,3,ok,-7.302,16,8,1,0.7,0.7,25.0,200.80210474142322,3144.4356440713605,2224.412579644859,0.7074123408564115
1,27,4,ok,-7.3,16,8,1,0.7,0.7,25.0,200.91141494989122,3146.1473737178717,2224.412579644859,0.7070274578448058
1,27,5,ok,-7.297,16,8,1,0.7,0.7,25.0,200.4062815682929,3138.2373002046807,2224.412579644859,0.7088095535349667
1,27,6,ok,-7.299,16,8,1,0.7,0.7,25.0,200.88229844930504,3145.69142748966,2224.412579644859,0.7071299365875805
