# v13_5kw telemetry  length=25.0  window=20.0  min_clearance=1.5
island,gen,idx,fitness,status,P_mean,P_end,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3,11,9,-2.887,ok,6.21,5.11,96.75,false,8.34,4,5,1,1.283,1.283,0.0,15.3,0.425,0.698,25.0,0.009487,0.011461,1.17886,0.627848,1.282606,0.948683,3.706513,4.0,-0.8,0.0,0.0,15.291257,0.424558,0.697839
3,11,10,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.76,3,4,2,1.487,1.487,0.8,6.4,0.104,1.0,25.0,0.009487,0.013063,1.064916,0.4,1.487162,0.672801,3.800971,3.0,0.631035,6.626355,0.794462,6.449907,0.1038,1.0
3,12,1,-6.454,ok,6.74,6.45,63.94,false,9.44,6,4,1,1.316,1.316,15.1,22.0,0.104,0.989,25.0,0.020891,0.011693,1.236319,0.53695,1.315984,0.698859,3.840007,6.0,-0.227435,2.706199,15.053987,22.0,0.1038,0.988909
3,12,2,-1.067,ok,5.59,4.36,37.55,false,8.41,3,4,1,1.553,1.5,0.0,0.0,0.425,1.0,25.0,0.009487,0.011462,1.039502,0.4,1.553004,0.948683,3.904879,3.0,-0.654867,0.0,0.0,0.0,0.424558,1.0
3,12,3,-6.176,ok,6.58,6.18,50.92,false,9.44,6,4,1,1.531,1.5,0.0,0.9,0.104,0.993,25.0,0.009487,0.013359,1.32,0.4,1.531029,0.316228,3.491459,6.0,0.760072,10.835149,0.0,0.917443,0.1038,0.992882
3,12,4,-3.461,ok,5.73,4.87,13.05,false,9.49,3,3,1,2.2,1.5,0.0,15.8,0.104,1.0,25.0,0.009487,0.013605,1.027891,0.4,2.2,0.948683,4.1832,3.0,-0.165221,0.0,0.0,15.825771,0.1038,1.0
3,12,5,-3.55,ok,6.06,5.12,124.32,false,9.45,5,4,1,2.2,1.5,1.8,11.3,0.104,1.0,25.0,0.009897,0.01305,1.319322,0.404927,2.2,0.316228,3.75695,5.0,0.8,12.929306,1.823965,11.279586,0.1038,1.0
3,12,6,1.0e9,clearance_reject,NaN,NaN,NaN,false,-3.52,7,4,2,1.388,1.388,3.0,0.0,0.104,1.0,25.0,0.009487,0.014411,1.027891,0.4,1.38782,0.720828,3.734866,7.0,-0.227435,1.263841,2.970252,0.0,0.1038,1.0
3,12,7,-3.835,ok,6.11,5.21,153.32,false,9.44,6,4,1,2.2,1.5,0.0,22.0,0.104,0.95,25.0,0.009487,0.012865,1.32,0.4,2.2,0.316228,3.780339,6.0,0.8,10.581293,0.0,22.0,0.1038,0.949961
3,12,8,1.0e9,clearance_reject,NaN,NaN,NaN,false,-3.11,5,4,2,1.931,1.5,0.0,3.7,0.104,0.995,25.0,0.009487,0.013519,1.32,0.747398,1.930576,0.316228,3.563163,5.0,0.8,14.275272,0.0,3.684905,0.1038,0.995095
3,12,9,-7.174,ok,7.35,7.17,22.96,false,9.47,4,8,1,0.713,0.713,10.2,3.1,0.104,0.609,25.0,0.021757,0.010234,1.32,0.4,0.712717,0.316228,3.587896,4.0,0.8,9.098349,10.244582,3.052713,0.1038,0.609021
3,12,10,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.87,6,7,2,0.826,0.826,4.0,0.0,0.104,0.894,25.0,0.017794,0.01103,1.316121,0.4,0.826122,0.474215,3.353891,6.0,0.080326,4.259856,4.01444,0.0,0.1038,0.893656
3,13,1,-6.35,ok,6.71,6.35,26.74,false,9.49,3,4,1,1.316,1.316,5.8,0.0,0.104,0.826,25.0,0.013623,0.012507,1.126372,0.4,1.315984,0.735458,3.998895,3.0,-0.227435,0.460454,5.758814,0.0,0.1038,0.826355
3,13,2,1.0e9,reject_twist,0.0,0.0,Inf,true,1.81,12,9,3,0.7,0.7,15.8,16.3,0.325,0.375,25.0,0.02846,0.01,1.32,0.747398,0.7,0.316228,3.110797,12.0,-0.8,19.0,15.815707,16.34182,0.325482,0.375026
3,13,3,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.62,6,6,2,0.872,0.872,1.0,0.9,0.114,0.836,25.0,0.009487,0.012989,1.219046,0.596985,0.872283,0.316228,3.866371,6.0,0.8,11.816878,0.981107,0.917443,0.113735,0.836185
3,13,4,-2.307,ok,5.71,4.67,14.75,false,8.27,12,4,1,1.828,1.5,15.0,15.8,0.325,0.944,25.0,0.021155,0.012212,1.263469,0.842595,1.827928,0.413596,3.721422,12.0,0.255816,12.070967,15.03786,15.825771,0.325482,0.943905
3,13,5,7.279,ok,3.81,2.21,41.9,false,2.11,3,7,2,0.74,0.74,13.8,4.8,0.104,0.614,25.0,0.021757,0.010967,1.123211,0.4,0.739979,0.715638,3.75695,3.0,0.080326,1.79889,13.790072,4.831119,0.1038,0.613817
3,13,6,-4.521,ok,5.86,5.17,35.63,false,9.42,7,3,1,2.2,1.5,5.3,20.5,0.104,1.0,25.0,0.012536,0.014079,1.238675,0.53695,2.2,0.456302,4.1832,7.0,0.769097,8.899628,5.262843,20.545947,0.1038,1.0
3,13,7,-5.059,ok,6.36,5.64,15.14,false,9.32,13,4,1,2.2,1.5,14.6,7.5,0.104,0.668,25.0,0.021757,0.010865,1.32,0.747398,2.2,0.456302,3.815568,13.0,0.8,14.969252,14.571519,7.469067,0.1038,0.667708
3,13,8,1.0e9,clearance_reject,NaN,NaN,NaN,false,-1.53,3,5,2,1.073,1.073,12.0,6.9,0.325,0.672,25.0,0.009487,0.013039,1.314068,0.4,1.072514,0.927023,3.94148,3.0,-0.279426,1.552951,12.030122,6.8734,0.325482,0.672128
