run_id,wind_speed,payout_duration,active_winch,damping_mode,EA_back_line,c_back_line,i_pto,field_imu,mppt_stall,payout_base_m,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,slack_events_late,speed_ripple_rms,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,fos_buckling_ring_id,peak_strut_load,peak_strut_ring_id,max_out_of_plane_accel,max_node_jerk,T_trpt_max,peak_trpt_segment_idx,peak_trpt_line_idx,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
34,11.0,5.0,0,0,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,70059.43951662864,10.776227138248492,226.20332484677382,3065.597666068464,6842.054065805413,391,293,6.3664385441241675,3.3940300000137675,1,-0.05134535847980848,0.0,3.4000000000138066,14.999999999969415,24112.087732448053,484.662378004723,600.6421307840349,1.1432888589996466,0.034807495980910805,1,24574.517508553807,1,36680.65538884185,2.344418933470406e8,84353.78514414674,1,3,1,ring_buckling,70064.82763019776,-77973.79667515322,-999.0
35,11.0,5.0,0,0,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,229533.9644714146,7.495537615622,210.16242584240666,3855.2988520551016,7207.04270299152,391,293,9.54234163662467,3.644460000015408,1,0.03114900911636655,0.0,3.66000000001551,14.999999999969415,83379.60226431706,531.0418798785643,600.6421265325023,1.0806938996879936,0.03566653905698908,1,17381.301055707503,1,17205.38281298651,3.470944202345979e8,76865.43356369177,1,2,1,ring_buckling,229537.7122402224,-77989.83757415759,-999.0
36,11.0,5.0,0,0,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,70059.43951662864,10.776227138248492,226.20332484677382,3065.597666068464,6842.054065805413,391,293,6.3664385441241675,3.3940300000137675,1,-0.05134535847980848,0.0,3.4000000000138066,14.999999999969415,24112.087732448053,484.662378004723,600.6421307840349,1.1432888589996466,0.034807495980910805,1,24574.517508553807,1,36680.65538884185,2.344418933470406e8,84353.78514414674,1,3,1,ring_buckling,70064.82763019776,-77973.79667515322,-999.0
37,11.0,5.0,0,0,700000.0,250.0,12.5,1,0,15.0,75.0,10.0,227207.26593483836,15.23777589357565,125.20591350942303,4193.555808841758,8450.053168691871,390,293,8.505326919459694,3.5332400000146795,1,-0.004392443680258621,0.0,3.540000000014724,14.999999999969415,78075.63629712097,153.0572016344348,583.3658837061328,1.3700819750399944,0.01887408593399374,1,50013.00473244279,1,32394.961208168428,1.8033157579922724e9,106202.59770138169,1,5,1,ring_buckling,227214.88482278516,-77874.79408649058,-999.0
38,11.0,5.0,0,0,700000.0,250.0,25.0,1,0,15.0,75.0,10.0,104182.47458143688,9.597525647493924,111.29394883403889,3575.2661881029935,7916.563146243603,391,293,7.216765221865845,3.4239400000139635,1,0.023845736922012473,0.0,3.4400000000140687,14.999999999969415,34439.30436195305,154.8072413719662,583.365884210263,1.267392786072243,0.017346460690610622,1,38584.32672763895,1,28057.198956367283,1.2815441050758292e8,96736.955154827,1,3,1,ring_buckling,104187.27334426063,-78088.70605116597,-999.0
39,11.0,5.0,0,0,700000.0,500.0,12.5,1,0,15.0,75.0,10.0,227207.26593483836,15.23777589357565,125.20591350942303,4193.555808841758,8450.053168691871,390,293,8.505326919459694,3.5332400000146795,1,-0.004392443680258621,0.0,3.540000000014724,14.999999999969415,78075.63629712097,153.0572016344348,583.3658837061328,1.3700819750399944,0.01887408593399374,1,50013.00473244279,1,32394.961208168428,1.8033157579922724e9,106202.59770138169,1,5,1,ring_buckling,227214.88482278516,-77874.79408649058,-999.0
40,11.0,5.0,0,0,700000.0,500.0,25.0,1,0,15.0,75.0,10.0,104182.47458143688,9.597525647493924,111.29394883403889,3575.2661881029935,7916.563146243603,391,293,7.216765221865845,3.4239400000139635,1,0.023845736922012473,0.0,3.4400000000140687,14.999999999969415,34439.30436195305,154.8072413719662,583.365884210263,1.267392786072243,0.017346460690610622,1,38584.32672763895,1,28057.198956367283,1.2815441050758292e8,96736.955154827,1,3,1,ring_buckling,104187.27334426063,-78088.70605116597,-999.0
41,11.0,5.0,0,2,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,355395.59156377625,14.247116003514869,74.96869398399541,6054.491742808342,9900.32177134227,391,293,12.020411569492982,3.5048700000144937,1,2.1888025238780937,0.0,3.520000000014593,14.999999999969415,132044.29179584593,258.79179595936426,600.6421263515805,1.2696766390173195,0.015419019575328145,1,44577.05070754234,1,18798.046800514738,7.335812519738334e8,99849.41111585106,1,5,1,ring_buckling,355402.715121778,-78125.03130601601,-999.0
42,11.0,5.0,0,2,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,90840.35623212859,13.268457805171565,183.33350565118386,4161.353169060294,8776.277053285956,392,293,7.048829847956825,3.7171700000158845,1,0.5059816105502479,0.0,3.720000000015903,14.999999999969415,30269.08922568442,244.5987199433425,600.6421307922949,1.253380496679938,0.020804749246638547,1,43030.126704593655,1,36793.642312404816,1.8485103675613713e8,100272.74755143035,1,1,1,ring_buckling,90846.99046103118,-78216.66649434881,-999.0
43,11.0,5.0,0,2,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,355395.59156377625,14.247116003514869,74.96869398399541,6054.491742808342,9900.32177134227,391,293,12.020411569492982,3.5048700000144937,1,2.1888025238780937,0.0,3.520000000014593,14.999999999969415,132044.29179584593,258.79179595936426,600.6421263515805,1.2696766390173195,0.015419019575328145,1,44577.05070754234,1,18798.046800514738,7.335812519738334e8,99849.41111585106,1,5,1,ring_buckling,355402.715121778,-78125.03130601601,-999.0
44,11.0,5.0,0,2,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,90840.35623212859,13.268457805171565,183.33350565118386,4161.353169060294,8776.277053285956,392,293,7.048829847956825,3.7171700000158845,1,0.5059816105502479,0.0,3.720000000015903,14.999999999969415,30269.08922568442,244.5987199433425,600.6421307922949,1.253380496679938,0.020804749246638547,1,43030.126704593655,1,36793.642312404816,1.8485103675613713e8,100272.74755143035,1,1,1,ring_buckling,90846.99046103118,-78216.66649434881,-999.0
45,11.0,5.0,0,2,700000.0,250.0,12.5,1,0,15.0,75.0,10.0,348546.3493414796,15.34989505770481,137.25082581930835,5507.511894987496,9491.358853279638,391,293,10.840489210880895,3.6629800000155295,1,1.471131498471662,0.0,3.680000000015641,14.999999999969415,96600.16102037756,404.5142316119336,583.3658836920997,1.3240912699095944,0.021251348865807373,1,42167.83562973561,1,27859.343676298373,2.576422577961788e9,92024.78558368766,1,1,1,ring_buckling,348554.02428900846,-78062.74917418069,-999.0
46,11.0,5.0,0,2,700000.0,250.0,25.0,1,0,15.0,75.0,10.0,90368.40922542497,14.060497026956705,123.97678158399965,5687.309510739339,9382.258001423474,389,293,7.168846018996624,3.5019400000144745,1,-0.22241457854512733,0.0,3.520000000014593,14.999999999969415,32988.33532655148,133.41034669025294,583.3658842053779,1.2902046761396662,0.024616976012933254,1,33955.31784719601,1,25912.387518883013,4.393355689660806e8,106095.03899738332,1,2,1,ring_buckling,90375.43947393844,-77676.023218416,-999.0
47,11.0,5.0,0,2,700000.0,500.0,12.5,1,0,15.0,75.0,10.0,348546.3493414796,15.34989505770481,137.25082581930835,5507.511894987496,9491.358853279638,391,293,10.840489210880895,3.6629800000155295,1,1.471131498471662,0.0,3.680000000015641,14.999999999969415,96600.16102037756,404.5142316119336,583.3658836920997,1.3240912699095944,0.021251348865807373,1,42167.83562973561,1,27859.343676298373,2.576422577961788e9,92024.78558368766,1,1,1,ring_buckling,348554.02428900846,-78062.74917418069,-999.0
48,11.0,5.0,0,2,700000.0,500.0,25.0,1,0,15.0,75.0,10.0,90368.40922542497,14.060497026956705,123.97678158399965,5687.309510739339,9382.258001423474,389,293,7.168846018996624,3.5019400000144745,1,-0.22241457854512733,0.0,3.520000000014593,14.999999999969415,32988.33532655148,133.41034669025294,583.3658842053779,1.2902046761396662,0.024616976012933254,1,33955.31784719601,1,25912.387518883013,4.393355689660806e8,106095.03899738332,1,2,1,ring_buckling,90375.43947393844,-77676.023218416,-999.0
49,11.0,5.0,1,0,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,151983.84935050394,8.153242695750736,242.9058827547415,4478.960874422741,6566.871796064562,379,293,7.27325145588164,3.831400000016633,1,0.3128983508020852,0.0,3.840000000016689,14.966287406401932,68113.97373934266,1074.792887287283,600.6421265325023,0.9920296260552774,0.036441991129163506,1,18619.768947392236,1,13867.319836145745,1.0846959678350708e8,70750.48912674734,1,5,1,ring_buckling,151987.9259718518,-75557.09411724526,-999.0
50,11.0,5.0,1,0,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,61518.86252064528,12.011180823909756,152.49274647914692,4056.7165710748336,7709.551427481225,379,293,6.802147199141223,3.909300000017143,1,0.2749810526958195,0.0,3.9200000000172133,14.980271777313096,33214.96315478404,309.95471964389736,600.6421307840349,1.2071953186885906,0.03411566585354764,1,18910.371250279248,1,36991.475588175934,1.2891205057840873e8,93780.40238636055,1,3,1,ring_buckling,61524.868111057236,-75647.50725352086,-999.0
51,11.0,5.0,1,0,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,151983.84935050394,8.153242695750736,242.9058827547415,4478.960874422741,6566.871796064562,379,293,7.27325145588164,3.831400000016633,1,0.3128983508020852,0.0,3.840000000016689,14.966287406401932,68113.97373934266,1074.792887287283,600.6421265325023,0.9920296260552774,0.036441991129163506,1,18619.768947392236,1,13867.319836145745,1.0846959678350708e8,70750.48912674734,1,5,1,ring_buckling,151987.9259718518,-75557.09411724526,-999.0
52,11.0,5.0,1,0,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,61518.86252064528,12.011180823909756,152.49274647914692,4056.7165710748336,7709.551427481225,379,293,6.802147199141223,3.909300000017143,1,0.2749810526958195,0.0,3.9200000000172133,14.980271777313096,33214.96315478404,309.95471964389736,600.6421307840349,1.2071953186885906,0.03411566585354764,1,18910.371250279248,1,36991.475588175934,1.2891205057840873e8,93780.40238636055,1,3,1,ring_buckling,61524.868111057236,-75647.50725352086,-999.0
