scenario,ring_id,radius_m,F_in_per_vertex_peak,T_line_static_ref_N,DLF_peak,DLF_mean,DLF_p95
steady25,2,1.064,1361.3936964016152,4509.903516383785,0.30186758795523705,0.18643813622971214,0.2881145665458129
steady25,3,1.1333333333333333,1183.586985519483,4509.903516383785,0.2624417531815689,0.1612133169566065,0.25128357634876386
steady25,4,1.2026666666666666,1066.4083708355859,4509.903516383785,0.23645924285552639,0.141952707681478,0.2220056929683915
steady25,5,1.272,948.2726127295014,4509.903516383785,0.21026450106628067,0.12704984991502957,0.19927448301990455
steady25,6,1.3413333333333333,869.6850620359692,4509.903516383785,0.19283895073953072,0.11564955339868113,0.1818144377814591
steady25,7,1.4106666666666667,808.0629324762643,4509.903516383785,0.17917521506628603,0.10679132163835996,0.16777585077013293
steady25,8,1.48,744.5427704005782,4509.903516383785,0.16509062060768462,0.09995717227333413,0.15463700339177208
steady25,9,1.5493333333333332,703.638611471502,4509.903516383785,0.15602076827481814,0.09504817063645382,0.14538245174755815
steady25,10,1.6186666666666665,666.3069860757155,4509.903516383785,0.14774306892711225,0.0918778205747544,0.13788080505539355
steady25,11,1.688,634.1461121619266,4509.903516383785,0.14061190219661493,0.09075724789767814,0.13243460484476513
steady25,12,1.7573333333333334,608.1890784949472,4509.903516383785,0.13485633922887483,0.09181351349794346,0.1287858549192193
steady25,13,1.8266666666666667,622.4016036089545,4509.903516383785,0.13800774259313203,0.09431791647491036,0.13298959136439578
steady25,14,1.896,794.9814643369084,4509.903516383785,0.1762746057535074,0.11998451782336778,0.16727691658899038
gust_11_25,1,0.9946666666666666,1670.0026135247113,4509.903516383785,0.3702967496882913,0.17179305435392211,0.349700200261245
gust_11_25,2,1.064,1551.5947586247978,4509.903516383785,0.34404167472498975,0.16241080114421144,0.3258125297738318
gust_11_25,3,1.1333333333333333,1385.4187785937975,4509.903516383785,0.30719477114328153,0.14266816171118654,0.28734467119514234
gust_11_25,4,1.2026666666666666,1219.4809842289765,4509.903516383785,0.2704006814777278,0.12754467634046332,0.2561860380969255
gust_11_25,5,1.272,1115.3101086363336,4509.903516383785,0.247302432210486,0.116111973901477,0.23334932534908365
gust_11_25,6,1.3413333333333333,1020.6913593167989,4509.903516383785,0.2263222163420535,0.10775665024225313,0.21379254114900606
gust_11_25,7,1.4106666666666667,941.958621885584,4509.903516383785,0.20886447314528864,0.10197955074967546,0.19796536003887727
gust_11_25,8,1.48,888.3292413584753,4509.903516383785,0.19697300355347114,0.09810783877467372,0.18386699382096397
gust_11_25,9,1.5493333333333332,849.4786868759878,4509.903516383785,0.18835850562877066,0.09561810477993311,0.17268177550236868
gust_11_25,10,1.6186666666666665,798.8943515060502,4509.903516383785,0.17714222679128055,0.09452974565973608,0.16531711390222
gust_11_25,11,1.688,763.0116698966303,4509.903516383785,0.16918580788363352,0.09480221419199007,0.15974500255455046
gust_11_25,12,1.7573333333333334,743.809858299076,4509.903516383785,0.16492810890453186,0.09618686839534053,0.15537268184133607
gust_11_25,13,1.8266666666666667,746.3956480395791,4509.903516383785,0.16550146701099894,0.09884628690030012,0.15725196592624363
gust_11_25,14,1.896,941.351602829856,4509.903516383785,0.20872987624016134,0.1258792685462646,0.1999893735465588
ebrake,1,0.9946666666666666,1216.6600352667672,873.117320771901,1.3934668415364257,0.7020744318094825,1.3101407457872287
ebrake,2,1.064,1146.05904372221,873.117320771901,1.3126060111933275,0.6623861149670117,1.212622856501004
ebrake,3,1.1333333333333333,1015.5703646122554,873.117320771901,1.1631545274057962,0.5960686957324389,1.0954859799510173
ebrake,4,1.2026666666666666,955.2954403507033,873.117320771901,1.094120363465188,0.5500619081213635,1.0005748077447352
ebrake,5,1.272,879.5512014157132,873.117320771901,1.007368861538704,0.5176790156255761,0.9425323761749541
ebrake,6,1.3413333333333333,852.0071080553156,873.117320771901,0.9758220204612109,0.4969195566494369,0.8993333768631595
ebrake,7,1.4106666666666667,811.0726839437202,873.117320771901,0.9289389462880788,0.4843815394703657,0.8740753286224675
ebrake,8,1.48,781.5736239973482,873.117320771901,0.8951530400363364,0.4787490513370389,0.8511507757509026
ebrake,9,1.5493333333333332,791.1270465241281,873.117320771901,0.9060947798226161,0.47990933972786093,0.838710819929429
ebrake,10,1.6186666666666665,773.492358615162,873.117320771901,0.8858973934125335,0.4862950813111277,0.8431727927820215
ebrake,11,1.688,772.3160325821634,873.117320771901,0.8845501219691511,0.49854624596765545,0.8371063402401496
ebrake,12,1.7573333333333334,802.0243169704246,873.117320771901,0.9185756574630488,0.5173732761639923,0.8527201739818868
ebrake,13,1.8266666666666667,811.3137442517085,873.117320771901,0.9292150378307081,0.542943035751073,0.8739030651401026
ebrake,14,1.896,725.7253132285111,873.117320771901,0.8311887715008514,0.5188170477065923,0.7900832710677562
