# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=1c9f9cbf4eac8f6d7909ab4d6cb5ee62417cb979
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2,5,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.25,6,16,2,2.258,0.508,8.0,22.0,0.32,0.14,18.8,2.25801,0.507646,1.78078,6.0,-0.129088,1.713683,7.963263,22.0,0.319669,0.14
2,5,5,101.275,ok,7.14,7.18,1075.59,6.49,false,4.04,6,11,3,2.089,0.711,5.5,22.0,1.0,0.945,18.8,2.088581,0.711492,1.732067,6.0,0.66507,3.0,5.516883,22.0,1.0,0.945223
2,5,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.54,8,17,2,2.01,0.734,1.0,0.0,0.547,0.625,18.8,2.009917,0.734359,1.340511,8.0,0.294499,2.029152,1.047569,0.0,0.546534,0.624893
2,5,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.58,6,14,3,2.025,0.657,0.5,10.9,0.61,1.0,18.8,2.024885,0.6574,1.549544,6.0,0.396829,3.0,0.549378,10.868817,0.60976,1.0
2,5,8,84.614,ok,6.18,6.21,1089.31,6.96,false,4.93,6,15,3,2.464,0.863,0.0,0.0,1.0,0.8,18.8,2.464256,0.862663,1.082692,6.0,0.319186,3.0,0.0,0.0,1.0,0.800373
2,5,9,72.908,ok,6.76,6.83,729.37,6.87,false,6.86,7,16,1,2.363,0.637,11.3,22.0,0.973,0.14,18.8,2.363126,0.637449,1.806398,7.0,-0.040851,1.111407,11.314883,22.0,0.973005,0.14
2,5,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.93,6,7,3,2.407,0.76,6.2,22.0,0.386,0.494,18.8,2.406927,0.760447,2.024972,6.0,-0.060668,2.892952,6.183255,22.0,0.386325,0.493936
2,6,1,65.237,ok,6.47,6.53,625.93,5.66,false,6.97,8,17,1,2.49,0.579,0.0,0.0,0.871,0.14,18.8,2.4899,0.578784,1.680249,8.0,0.0,1.218379,0.0,0.0,0.871414,0.14
2,6,2,1.0e9,reject,3.05,3.08,232.54,12.92,false,5.78,6,14,2,2.593,0.668,6.2,0.7,0.448,0.359,18.8,2.59343,0.667965,1.511747,6.0,0.162371,1.535314,6.167532,0.71657,0.448242,0.35869
2,6,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.44,6,10,3,2.61,0.719,1.9,5.0,0.14,0.447,18.8,2.609652,0.718715,1.643798,6.0,0.330825,2.892952,1.92702,5.027162,0.14,0.447128
2,6,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.0,5,12,3,2.258,0.679,0.0,10.5,0.32,1.0,18.8,2.25801,0.678946,1.572105,5.0,0.686397,3.0,0.0,10.514372,0.319669,1.0
2,6,5,74.626,ok,6.68,6.77,728.68,5.83,false,6.93,7,12,1,2.225,0.694,12.1,22.0,1.0,0.14,18.8,2.225289,0.694207,2.1,7.0,-0.232244,1.0,12.087476,22.0,1.0,0.14
2,6,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.47,5,14,3,2.327,0.734,0.0,0.0,0.244,1.0,18.8,2.326707,0.734359,1.336638,5.0,0.507079,3.0,0.0,0.0,0.244457,1.0
2,6,7,1.0e9,reject,5.21,5.26,921.87,1.29,false,4.54,6,17,3,2.691,0.761,0.0,0.0,0.86,1.0,18.8,2.691244,0.761438,1.0,6.0,0.44412,2.82126,0.0,0.0,0.860397,1.0
2,6,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.84,5,15,3,2.561,0.539,0.0,6.8,0.258,0.811,18.8,2.561037,0.53914,1.417987,5.0,0.542222,3.0,0.0,6.824872,0.258398,0.810837
2,6,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.56,7,11,1,2.363,0.801,12.4,22.0,0.511,0.14,18.8,2.363126,0.801279,2.1,7.0,0.307392,1.326637,12.44581,22.0,0.511489,0.14
2,6,10,72.44,ok,5.89,5.95,875.1,4.75,false,5.68,8,13,2,2.407,0.617,6.2,18.9,0.84,0.374,18.8,2.406927,0.61724,1.748311,8.0,-0.753723,1.86729,6.183255,18.929632,0.84018,0.374153
2,7,1,1.0e9,reject,5.22,5.27,482.64,2.27,false,5.66,7,13,2,2.4,0.835,2.9,0.0,0.59,0.721,18.8,2.4,0.835373,1.5,7.0,0.623028,2.495437,2.871913,0.0,0.590271,0.720804
2,7,2,1.0e9,reject,4.81,4.86,863.25,14.91,false,4.89,8,12,2,2.593,0.814,0.0,0.0,0.574,1.0,18.8,2.59343,0.813968,1.547141,8.0,0.426519,1.891713,0.0,0.0,0.573819,1.0
2,7,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.66,5,26,2,2.223,0.44,3.9,16.3,0.899,0.463,18.8,2.223355,0.439717,1.13094,5.0,-0.155873,2.4015,3.948054,16.324541,0.899362,0.463174
2,7,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.87,5,20,3,2.177,0.487,0.0,0.0,0.642,0.945,18.8,2.176818,0.487006,1.326039,5.0,-0.029152,3.0,0.0,0.0,0.641859,0.945221
2,7,5,81.564,ok,6.76,6.82,703.01,9.34,false,6.83,7,18,1,2.35,0.524,11.3,22.0,0.994,0.181,18.8,2.349768,0.52361,1.86522,7.0,-0.232244,1.0,11.314883,22.0,0.99445,0.180533
2,7,6,87.36,ok,6.8,6.86,940.8,7.88,false,4.2,7,12,3,2.108,0.684,4.7,5.3,0.86,0.8,18.8,2.108066,0.683778,1.715755,7.0,-0.8,2.918132,4.658672,5.325109,0.860018,0.800373
2,7,7,110.414,ok,7.23,7.24,1031.68,5.79,false,3.68,6,10,3,1.987,0.588,10.8,22.0,1.0,0.885,18.8,1.987431,0.58775,2.070805,6.0,-0.767683,3.0,10.801431,22.0,1.0,0.884551
2,7,8,123.928,ok,6.01,6.06,1599.95,3.43,false,2.38,8,7,3,2.397,0.656,13.0,22.0,0.989,0.8,18.8,2.396978,0.655983,2.1,8.0,-0.205659,3.0,12.963314,22.0,0.988604,0.800373
2,7,9,66.597,ok,6.65,6.73,667.66,9.52,false,6.9,7,15,1,2.304,0.662,11.6,22.0,0.973,0.14,18.8,2.304052,0.661774,1.932228,7.0,-0.156205,1.063661,11.645997,22.0,0.973005,0.14
2,7,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.04,8,13,3,2.076,0.545,0.0,0.0,0.62,1.0,18.8,2.075554,0.544799,1.748311,8.0,-0.663778,3.0,0.0,0.0,0.619798,1.0
2,8,1,81.245,ok,6.53,6.62,747.22,6.79,false,6.96,7,16,1,2.208,0.575,9.9,22.0,1.0,0.162,18.8,2.208086,0.575109,2.012916,7.0,-0.8,1.29831,9.947679,22.0,1.0,0.16199
2,8,2,1.0e9,reject,5.14,5.2,701.82,0.21,false,4.51,8,16,3,2.669,0.635,0.0,0.0,0.709,0.449,18.8,2.669136,0.634806,1.186206,8.0,0.606766,2.912636,0.0,0.0,0.708778,0.448767
2,8,3,87.914,ok,7.0,7.07,859.52,6.46,false,6.98,8,12,1,2.257,0.676,0.0,22.0,1.0,0.14,18.8,2.257035,0.675749,2.1,8.0,-0.63862,1.020287,0.0,22.0,1.0,0.14
2,8,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.69,7,14,3,2.442,0.843,1.7,0.0,0.548,0.815,18.8,2.442466,0.842823,1.180487,7.0,0.783348,2.705548,1.724958,0.0,0.547529,0.81548
2,8,5,1.0e9,reject,5.86,5.9,804.58,1.19,false,6.14,6,14,2,2.109,0.574,10.6,22.0,1.0,0.319,18.8,2.108795,0.574383,1.908262,6.0,-0.595745,1.627096,10.590286,22.0,1.0,0.318751
2,8,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.35,7,17,3,2.108,0.693,0.0,0.0,0.498,0.8,18.8,2.108066,0.693436,1.200604,7.0,0.247685,3.0,0.0,0.0,0.497917,0.800373
