v_wind,t,P_kw,omega_hub,omega_gnd,twist_deg,hub_z
8.0,12.999999999846185,0.0031831159124479863,0.9274751669959412,0.6301314104273559,-4.251553279353307,12.86344620275294
8.0,13.499999999827256,0.0038922092138923142,0.8369393378592119,0.6298595335918538,1.6800155754061374,12.839435343194738
8.0,13.999999999808328,0.007490038191523224,0.816841814286092,0.8675083579234131,0.22881390134517668,12.795205590813318
8.0,14.499999999789399,0.0023679395500413782,0.8072922419317744,0.5701911310501645,7.021731242612936,12.778356219571151
8.0,14.99999999977047,0.007766082800898683,0.778386492891325,0.7026987132208979,9.188912733947406,12.726925415299274
11.0,5.500000000019097,0.0016058216054871566,0.028856479921404547,0.38751166268792,-9.031411763666195,13.255984490265066
11.0,6.000000000022372,0.0015944544731691657,0.050161243760119184,-0.21984008907505825,-1.2973675717912827,13.23457839569998
11.0,6.500000000025648,0.0005844020990434816,0.12509076114257195,0.23696506932887265,-4.501163074919969,13.144306988759359
11.0,7.0000000000289235,0.00225279194094592,0.17843258334423054,0.217865841346379,-5.632068840490622,13.094333317317252
11.0,7.500000000032199,0.000828553884095124,0.3132704207291194,0.2023254976870492,-2.4531840573119617,13.173712858718112
11.0,8.000000000035474,0.004453912194229797,0.5428794625365347,0.6985394158581003,-6.9121266997590896,13.187006826192691
11.0,8.500000000016545,0.00265639721925912,0.8431935970082813,0.5951325084385054,0.19410196936390436,13.316668163717495
11.0,8.999999999997616,0.01637150292100336,1.1046086885016144,1.1380700079545774,-0.7645003561458275,13.504460348591317
11.0,9.499999999978687,0.022927769057727174,1.4206228605755487,1.2766169624562544,3.3612084955030794,13.534287860181363
11.0,9.999999999959758,0.020486576754914037,1.6616287389996056,1.2294032159551525,15.743792745858235,13.701020541151795
11.0,10.49999999994083,0.04184118494948965,1.8495292020611003,1.5527879093104129,24.244700642056795,13.760043283494939
11.0,10.9999999999219,0.027969038311634963,1.9239990331570862,1.3602858442938701,40.394450126843694,13.818338205490496
11.0,11.499999999902972,0.054765721002722895,2.005263992659134,1.4509924911556,56.27135397759284,13.843123271286847
11.0,11.999999999884043,0.34688674023988564,2.246620706326108,3.1527959570435407,30.311680794080562,13.922363242443014
11.0,12.499999999865114,0.22623212282599584,2.6518561611602642,2.5740156118616784,32.543529202590136,13.896792010194478
11.0,12.999999999846185,0.1258531146349035,2.800877087642529,2.122880599835578,51.965270771495646,14.028047767180341
11.0,13.499999999827256,0.2613453326119994,3.0416017620548077,2.8468861791761406,57.54450922285488,14.015295322535957
11.0,13.999999999808328,0.3084683820142927,3.291950740178212,2.89720180528995,68.85160196707523,14.054028969115668
11.0,14.499999999789399,1.0083070937476217,3.796680388586534,4.462929395618457,49.766430914315826,14.093549182404386
11.0,14.99999999977047,0.4130370687687939,4.4256863782298215,3.3419523362106642,80.81324185582709,14.182979131533378
13.0,5.500000000019097,0.002891245671230688,0.8173050152024064,0.6271547755366231,0.31652186698520196,13.676740971571034
13.0,6.000000000022372,0.00685291900623462,1.1788897313544588,0.8170817697994643,10.681380231070055,13.976599320472019
13.0,6.500000000025648,0.04854942753396455,1.6192869565568508,1.6119364630184745,10.891793210599868,13.997873886457462
13.0,7.0000000000289235,0.03701743877868454,1.9764486283586409,1.489418141645454,24.844856183892926,14.187526639338918
13.0,7.500000000032199,0.060393172374077035,2.194680661294265,1.7417437276367935,37.819989920118715,14.242365615118047
13.0,8.000000000035474,0.058628981783174966,2.3595161362586525,1.6790579066062894,57.31444991643226,14.272592612626264
13.0,8.500000000016545,0.3981940825929189,2.602313372688057,3.1635674997635665,41.23346066282446,14.297775811521673
13.0,8.999999999997616,0.4025374673489338,3.1717558453168824,3.0640744270592983,44.32155717846476,14.283605328053167
13.0,9.499999999978687,0.3527973449064763,3.518791720761647,2.9745810638877477,59.90990180726099,14.397580967225155
13.0,9.999999999959758,0.40285064882179145,4.015415676825968,3.278038118304783,81.03533392962808,14.413208497812596
13.0,10.49999999994083,1.2546840712193086,4.6447309805052415,4.7837888179949335,77.05062904284351,14.424841744198359
13.0,10.9999999999219,1.3758012571813099,5.600052097056434,4.992733112776057,94.45034967009077,14.482563842149784
13.0,11.499999999902972,2.3800478617781473,6.81304359151242,5.94942975488124,119.19058364480678,14.521609746591142
13.0,11.999999999884043,4.739194163929417,8.227518165370984,7.538487038415305,138.93005182458754,14.560465913935582
13.0,12.499999999865114,7.486888076300499,9.612039841981607,8.778879429529105,162.79831818345292,14.57778797450964
13.0,12.999999999846185,10.969098140188127,10.748756076091848,9.980825193943533,184.7978206216786,14.580325246335272
13.0,13.499999999827256,14.092629306747009,11.536198975708974,10.857037089351921,204.25426458734833,14.562746752330648
13.0,13.999999999808328,16.341650450104485,12.002042235428313,11.409102546907773,221.24064335262094,14.534567060928001
13.0,14.499999999789399,17.80189260272361,12.255660689514364,11.740172723761138,236.00820058443026,14.502925856160703
13.0,14.99999999977047,18.69062602971675,12.378227012707242,11.9326999513469,248.77153622589307,14.470750466008342
