scenario,t,hub_x,hub_z,elev_deg,omega_hub,twist_deg,T_max
SingleKite_v3p5,4.319999999999967,24.929567099405837,14.61108343909833,30.37433511437737,0.018615637196475264,-0.6812443961961664,0.0
SingleKite_v3p5,4.323999999999967,24.92948079482078,14.611048070200464,30.374361140271493,0.018532810785222523,-0.7170242476089242,0.0
SingleKite_v3p5,4.3279999999999665,24.92939443140781,14.611012663858167,30.37438716125868,0.018449194196131138,-0.752811627513337,0.0
SingleKite_v3p5,4.331999999999966,24.929308015546347,14.610977217815613,30.37441316708385,0.018365138483332145,-0.7886016568232342,0.0
SingleKite_v3p5,4.335999999999966,24.929221554045668,14.61094173068425,30.374439148544425,0.01828094172871786,-0.8244107805512039,0.0
SingleKite_v3p5,4.339999999999965,24.929135053190922,14.61090620195146,30.374465098461656,0.018196084068716898,-0.8602728865039754,0.0
SingleKite_v3p5,4.343999999999965,24.92904850174762,14.610870630956017,30.374491026968403,0.018105882687833495,-0.8962348160468118,0.0
SingleKite_v3p5,4.347999999999964,24.928961869866935,14.610835016363515,30.374516961709677,0.018009057758238658,-0.9323514728217186,0.0
SingleKite_v3p5,4.351999999999964,24.92887513988134,14.610799357471059,30.37454291919767,0.017908352406209298,-0.9686801276329496,0.0
SingleKite_v3p5,4.3559999999999635,24.928788312072243,14.610763654507618,30.374568899542453,0.017806038373376423,-1.0052760977327313,0.0
SingleKite_v3p5,4.359999999999963,24.928701396735917,14.61072790834463,30.374594893911667,0.017703434346061163,-1.042189854583533,0.0
SingleKite_v3p5,4.363999999999963,24.928614406628103,14.610692120244783,30.37462089167613,0.017600818077555556,-1.079465109378518,0.0
SingleKite_v3p5,4.367999999999962,24.92852735227181,14.610656291706372,30.374646884848236,0.017498039850870204,-1.117137900769226,0.0
SingleKite_v3p5,4.371999999999962,24.928440241188568,14.610620424452913,30.374672868835017,0.01739488917905959,-1.1552363335975628,0.0
SingleKite_v3p5,4.375999999999961,24.92835307843517,14.610584520444913,30.374698841920193,0.01729120520919672,-1.1937795364868122,0.0
SingleKite_v3p5,4.379999999999961,24.928265867399794,14.610548581874179,30.374724804456203,0.01718690285188137,-1.232777776784059,0.0
SingleKite_v3p5,4.38399999999996,24.92817861050734,14.610512611135695,30.374750758108945,0.01708196568175124,-1.2722338533920534,0.0
SingleKite_v3p5,4.38799999999996,24.928091309722845,14.610476610781564,30.374776705274208,0.01697641689482347,-1.3121450151523693,0.0
SingleKite_v3p5,4.3919999999999595,24.928003966327488,14.610440583432037,30.37480264915009,0.016870086325592785,-1.352505005009093,0.0
SingleKite_v3p5,4.395999999999959,24.927916579811814,14.610404531622429,30.374828594584866,0.016762678469318268,-1.3933059891576252,0.0
