v_wind_m_s,bank_angle_deg,omega_rad_s,v_axial_m_s,v_app_m_s,phi_inflow_deg,lambda,L_per_blade_N,D_per_blade_N,LD_ratio,F_radial_N,F_axial_N,tau_lift_Nm,tau_drag_Nm,tau_net_Nm,P_per_rotor_kW,P_total_3rotors_kW
4.0,20.0,10.0,3.46,20.3,9.83,5.0,90.8,6.4,14.3,244.9,672.9,233.1,100.3,132.9,1.329,3.986
4.0,20.0,12.0,3.46,24.25,8.21,6.0,129.7,9.1,14.3,351.1,964.7,278.5,143.7,134.8,1.617,4.851
4.0,20.0,15.0,3.46,30.2,6.59,7.5,201.1,14.1,14.3,546.6,1501.8,346.8,223.7,123.1,1.846,5.539
4.0,20.0,20.0,3.46,40.15,4.95,10.0,355.4,24.9,14.3,968.9,2662.1,461.1,396.6,64.5,1.29,3.869
4.0,30.0,3.0,3.46,6.93,30.0,1.5,10.6,0.7,14.3,36.7,63.5,73.3,10.3,63.1,0.189,0.568
4.0,30.0,5.0,3.46,10.58,19.11,2.5,24.7,1.7,14.3,93.3,161.7,112.0,26.1,85.9,0.429,1.288
4.0,30.0,7.0,3.46,14.42,13.9,3.5,45.9,3.2,14.3,178.1,308.5,152.6,49.9,102.8,0.719,2.158
4.0,30.0,9.0,3.46,18.33,10.89,4.5,74.1,5.2,14.3,291.0,504.0,194.0,81.5,112.5,1.013,3.038
4.0,30.0,10.0,3.46,20.3,9.83,5.0,90.8,6.4,14.3,358.1,620.2,214.8,100.3,114.6,1.146,3.437
4.0,30.0,12.0,3.46,24.25,8.21,6.0,129.7,9.1,14.3,513.3,889.1,256.6,143.7,112.9,1.355,4.065
4.0,30.0,15.0,3.46,30.2,6.59,7.5,201.1,14.1,14.3,799.1,1384.0,319.6,223.7,95.9,1.438,4.315
4.0,30.0,20.0,3.46,40.15,4.95,10.0,355.4,24.9,14.3,1416.5,2453.4,424.9,396.6,28.3,0.567,1.7
4.0,45.0,3.0,3.46,6.93,30.0,1.5,10.6,0.7,14.3,51.9,51.9,59.9,10.3,49.6,0.149,0.446
4.0,45.0,5.0,3.46,10.58,19.11,2.5,24.7,1.7,14.3,132.0,132.0,91.5,26.1,65.3,0.327,0.98
4.0,45.0,7.0,3.46,14.42,13.9,3.5,45.9,3.2,14.3,251.9,251.9,124.6,49.9,74.8,0.523,1.57
4.0,45.0,9.0,3.46,18.33,10.89,4.5,74.1,5.2,14.3,411.6,411.6,158.4,81.5,76.9,0.692,2.077
4.0,45.0,10.0,3.46,20.3,9.83,5.0,90.8,6.4,14.3,506.4,506.4,175.4,100.3,75.2,0.752,2.255
4.0,45.0,12.0,3.46,24.25,8.21,6.0,129.7,9.1,14.3,725.9,725.9,209.6,143.7,65.8,0.79,2.37
4.0,45.0,15.0,3.46,30.2,6.59,7.5,201.1,14.1,14.3,1130.1,1130.1,261.0,223.7,37.2,0.559,1.676
4.0,45.0,20.0,3.46,40.15,4.95,10.0,355.4,24.9,14.3,2003.2,2003.2,347.0,396.6,-49.6,-0.993,-2.979
6.0,5.0,3.0,5.2,7.94,40.89,1.0,13.9,1.0,14.3,7.3,83.7,145.0,11.8,133.2,0.4,1.199
6.0,5.0,5.0,5.2,11.27,27.46,1.67,28.0,2.0,14.3,17.3,198.0,205.8,27.8,178.0,0.89,2.67
