Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,knuckle_mass_kg,n_lines,n_expansion,bank_angle_deg,n_rings,tether_length_m,mass_structural_kg,mass_expansion_kg,mass_tether_kg,mass_total_kg,cost_kg,min_fos,min_torsional_fos,worst_ring,bem_rotor_m,omega_rads,feasible
0.24513008796608765,0.02827749912006787,0.6760138101417006,0.15230384669393493,9.954635748026915,1.1408436666543276,1.9535515399947605,0.08994306949723853,8,0,0.0,9,67.0820393249937,1363.9243541092562,0.0,18.397989780595665,1382.322343889852,1.0061608669592311e6,37.814304840388054,0.33207770021692357,7,9.264475183391502,4.8680577266644445,false
0.07671803509249579,0.038164163787788905,0.5986753347669076,0.6766472771603221,8.182167519748626,2.745957043089939,1.8865790842550791,0.09727825279597527,3,5,16.649943687580496,8,67.0820393249937,114.95515863942099,5.591083759874314,6.8992461677233745,127.44548856701867,1.0011495515863942e6,0.048973774909150496,0.6980906807086967,2,7.388283839245697,6.104259254420368,false
0.15915555728259054,0.13480737852722255,0.8540601805500758,0.3199031608443463,9.444619078462468,0.9500762745970495,1.202914011416747,0.10725443229788409,7,5,8.108628126459267,16,67.0820393249937,3462.2710331770713,6.222309539231235,16.098241058021205,3484.591583774324,1.0136576979120855e6,33.06661386981562,0.38025489970532,10,8.895449557878187,5.070007952555644,false
0.18557073110128222,0.08648422618876468,0.4091155244275056,0.920186841029373,7.359276103376903,2.806369600498535,0.7026010504441701,0.15792366920044412,6,6,8.989546602802193,21,67.0820393249937,3032.7417960149255,6.215565662026143,13.798492335446749,3052.7558540123982,1.0060714550734363e6,1.0361760404376483,1.3015860015178802,2,8.514668267552478,5.296741879171751,false
0.14912769904758402,0.0989051634719261,0.8368715886163671,0.003538564771306408,9.1803270513845,4.069490880235468,0.41710013486360814,0.10912837208586022,7,0,0.0,22,67.0820393249937,7624.732903776583,0.0,16.098241058021205,7640.831144834604,7640.831144834604,66.27795821443225,2.082003877860969,6,8.895449557878187,5.070007952555644,true
0.07506918775846683,0.11221309324760649,0.747640025491911,0.7210631348624568,9.315442708529078,3.5248803754722124,0.9062825238765718,0.15822272931151435,8,5,39.779152426384904,13,67.0820393249937,727.1021983716909,6.157721354264539,18.397989780595665,751.6579095065512,1.0051268642693668e6,0.25527961894545853,1.6457337353033976,2,9.264475183391502,4.8680577266644445,false
0.24080680023148313,0.1074175602339004,0.9375356089809695,0.30285266338541544,9.305503210602778,2.219257815641615,0.8775203750746946,0.13425942522010192,4,3,17.56544855434969,16,67.0820393249937,9131.542346235974,3.691650963180833,9.198994890297833,9144.432992089452,1.0156681115439754e6,190.6851469069212,0.8742159819905482,2,7.745017283109401,5.823098690606621,false
0.1982171754910714,0.030238422357233362,0.6429932951553265,0.06415977207609887,10.319889967819181,4.5993879644693365,1.2516343936677057,0.14552783542214479,8,1,25.558142326059375,9,67.0820393249937,1788.5293111490519,1.3319889967819183,18.397989780595665,1808.2592899264296,1808.2592899264296,18.27655928061169,1.9581569124398204,6,9.264475183391502,4.8680577266644445,true
0.16208962108700029,0.029521690184235325,0.8698901840151065,0.8299533685077864,10.043362892932159,3.316685422036899,1.2051123038665974,0.16556085159041323,5,1,25.93372974983246,10,67.0820393249937,726.3092783680177,1.304336289293216,11.498743612872293,739.1123582701832,1.0018960898050162e6,0.8526775388722619,1.2129464569095219,2,8.127622629338422,5.548978103043531,false
0.21467817896394895,0.046686294971777426,0.6484454932801661,0.5628326357724347,9.219624787269243,1.718971225065069,1.892279118143661,0.10534360209366067,7,2,16.238454316895016,9,67.0820393249937,1291.2550118732506,2.4439249574538486,16.098241058021205,1309.7971778887256,1.0036889973982002e6,7.598862645857499,0.5250430696304814,2,8.895449557878187,5.070007952555644,false
0.17333411300507948,0.07851188711712934,0.6464622370099024,0.16549854951926454,10.36784605798802,2.9024950249882617,1.7269641080724982,0.07275561319225216,5,4,21.359264339375596,8,67.0820393249937,2144.825084836819,5.347138423195208,11.498743612872293,2161.6709668728863,1.0035941993448545e6,18.765539945852545,0.8951194184209839,3,8.127622629338422,5.548978103043531,false
0.011625164492708307,0.12216695853902206,0.4469327344773475,0.6907766041882085,9.452524743034648,0.42560136067207127,1.6161834392017194,0.08911691756157687,7,2,30.508055285982966,15,67.0820393249937,16.37579728953726,2.4905049486069295,16.098241058021205,34.964543296165395,1.0001637579728954e6,7.3740502676362144e-6,0.14121768249401812,2,8.895449557878187,5.070007952555644,false
