P_kw,hub_z,delta_alpha_deg,tau_gen,omega_gnd,T_max,n_slack,backline_payout,omega_hub,ring_max_util,mode,delta_omega,t
0.0,17.20703629958031,68.40378848453317,0.0,-0.6607347998978402,0.0,75,20.389227810913965,-0.9422492691545117,1.4351274641901068,Mode 2 (LPF Speed),-0.28151446925667145,13.160000000052344
0.0,17.202341113601538,68.22710370718107,0.0,-0.8950697926778113,0.0,75,20.431813073594352,-0.9836456150211905,1.3826402344047324,Mode 2 (LPF Speed),-0.08857582234337924,13.180000000052475
0.0,17.196150255568217,68.13963220989208,0.0,-0.9492682735567921,0.0,75,20.474259270968606,-1.01828853888586,1.1546033482320952,Mode 2 (LPF Speed),-0.06902026532906791,13.200000000052606
0.0,17.189881449332944,68.06180265680204,0.0,-0.9963602252239241,0.0,75,20.516565528401166,-1.0514883321422537,1.017272726099013,Mode 2 (LPF Speed),-0.05512810691832959,13.220000000052737
0.0,17.182181829535665,68.10674643897954,0.0,-1.2798731957007683,0.0,75,20.558730971256463,-1.0897754280665453,1.2938334659994113,Mode 2 (LPF Speed),0.19009776763422304,13.240000000052868
0.0,17.171015585421372,68.61634020046735,0.0,-1.9058100826559363,0.0,75,20.600754724898927,-1.1429156638745135,1.7634732307312833,Mode 2 (LPF Speed),0.7628944187814228,13.260000000053
0.0,17.153591831174126,69.86630172580053,0.0,-2.649837144395279,0.0,75,20.642635914692992,-1.2112235166187382,2.0088574066598333,Mode 2 (LPF Speed),1.438613627776541,13.28000000005313
0.0,17.130129506982414,71.96709445310519,0.0,-3.493360898141545,0.0,75,20.684373666003086,-1.286217188667564,2.0907758811583608,Mode 2 (LPF Speed),2.207143709473981,13.300000000053261
0.0,17.10447712693231,74.75170888255754,0.0,-3.974643728950399,0.0,75,20.725967104193643,-1.3538090828124474,2.022903538918407,Mode 2 (LPF Speed),2.6208346461379515,13.320000000053392
0.0,17.081963361908606,77.72257954621838,0.0,-3.931961183886019,205.2883718323904,74,20.767415354629097,-1.4054353186286381,2.2617231780722045,Mode 2 (LPF Speed),2.5265258652573808,13.340000000053523
0.0,17.06831204905182,80.60349976623459,0.0,-3.928785352083041,568.0708911143522,74,20.80871754267387,-1.4333779222875906,2.703685750571982,Mode 2 (LPF Speed),2.49540742979545,13.360000000053654
0.0,17.066202028613393,83.35323121758417,0.0,-2.963570043193193,416.0437817616856,74,20.849872793692402,-1.4474171408563627,1.97249775777723,Mode 2 (LPF Speed),1.51615290233683,13.380000000053785
0.0,17.072740197711106,84.98797436171053,0.0,-2.9105243668444114,289.51970613421383,73,20.89088023304912,-1.4677948070228461,1.628865046910487,Mode 2 (LPF Speed),1.4427295598215653,13.400000000053916
0.0,17.082361874650346,86.52631000160166,0.0,-2.5813950953006155,357.62846432316564,74,20.931738986108464,-1.4894287995402948,1.5070403250233024,Mode 2 (LPF Speed),1.0919662957603207,13.420000000054047
0.0,17.093538083788886,87.13446928476169,0.0,-1.3091425150423452,355.00591852467585,73,20.972448178234856,-1.4995492975518239,1.7412963626182085,Mode 2 (LPF Speed),-0.19040678250947862,13.440000000054178
0.0,17.105979168573192,85.46304843178368,0.0,1.4028590130187735,0.0,75,21.013006934792735,-1.4955952576130622,1.2578248557934335,Mode 2 (LPF Speed),-2.8984542706318357,13.46000000005431
0.0,17.12163127176158,80.26117417797103,0.0,4.657403627833953,0.0,75,21.053414381146514,-1.4758397635847567,0.8558311532203878,Mode 2 (LPF Speed),-6.13324339141871,13.48000000005444
0.0,17.14355319491396,71.22985112480063,0.0,8.395472701267408,0.0,75,21.093669642660654,-1.4411496909294932,1.9334102075462725,Mode 2 (LPF Speed),-9.836622392196901,13.500000000054571
0.0,17.172719081807735,57.18795175012677,0.0,13.709458006815272,0.0,75,21.133771844699563,-1.3962552600868121,2.19762893503426,Mode 2 (LPF Speed),-15.105713266902084,13.520000000054702
0.0,17.196401217590196,37.221940742754136,0.0,18.10146319438266,0.0,75,21.17372011262768,-1.2906216416329572,8.296144646592255,Mode 2 (LPF Speed),-19.392084836015616,13.540000000054834
0.0,17.175257087466697,14.123694324982194,0.0,19.82465272627991,2546.5024092791737,73,21.21351357180944,-0.9885371448338084,8.369276236572723,Mode 2 (LPF Speed),-20.81318987111372,13.560000000054965
0.0,17.117353353212625,-10.156766765822674,0.0,20.659617695769615,497.8264913646666,74,21.253151347609272,-0.8432399754750145,3.3630306076116034,Mode 2 (LPF Speed),-21.50285767124463,13.580000000055096
0.0,17.083741630909582,-34.74548712111463,0.0,20.3076847555073,505.121243068872,73,21.2926325653916,-0.7823681834731555,5.114721692702137,Mode 2 (LPF Speed),-21.090052938980456,13.600000000055227
0.0,17.071863536448284,-58.21802216919788,0.0,19.153855871206652,715.5798713789999,73,21.33195635052087,-0.7175515262647297,4.243945030514247,Mode 2 (LPF Speed),-19.87140739747138,13.620000000055358
0.0,17.07373196567417,-80.33396608675352,0.0,18.043930342818783,1084.7493010412857,73,21.371121828361506,-0.6311345809547793,4.52513809622679,Mode 2 (LPF Speed),-18.67506492377356,13.640000000055489
0.0,17.08114628041425,-100.53440625255362,0.0,16.296644344208545,693.8865065045566,73,21.41012812427793,-0.548205918163392,4.278212213440862,Mode 2 (LPF Speed),-16.84485026237194,13.66000000005562
0.0,17.09526541295191,-118.92501162518013,0.0,14.499832752442607,718.4914407596568,72,21.448974363634594,-0.480023527412122,2.8499597408378623,Mode 2 (LPF Speed),-14.97985627985473,13.68000000005575
0.0,17.11072012866075,-134.48035886889804,0.0,12.160544275505904,757.4712186054752,70,21.487659671795907,-0.40113671366619114,2.954388414314457,Mode 2 (LPF Speed),-12.561680989172094,13.700000000055882
0.0,17.121288885325814,-147.80807876518284,0.0,10.195134436019124,584.603424645503,71,21.526183174126327,-0.3080588591571104,3.3459906890292803,Mode 2 (LPF Speed),-10.503193295176235,13.720000000056013
0.0,17.125584205067607,-157.6666115437709,0.0,6.120762859293757,471.9004366977752,72,21.56454399599026,-0.20782138084042706,4.128284587639773,Mode 2 (LPF Speed),-6.328584240134184,13.740000000056144
0.0,17.12425604853833,-162.96654318405945,0.0,3.1664229110822855,318.8665395789572,70,21.602741262752147,-0.11228605854738574,3.5206843016770155,Mode 2 (LPF Speed),-3.278708969629671,13.760000000056275
0.0,17.120492562214576,-165.75828441465202,0.0,1.7480600376460869,139.3558670244769,71,21.640774099776415,-0.03475163063961875,2.3568682532739524,Mode 2 (LPF Speed),-1.7828116682857056,13.780000000056406
