t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
30.5000,-0.217928,-1.036189,1.058858,-0.288315,-1.369988,1.399998,92.3350,154.0095,65.0438,597.8620,13.9205,13.664601,5.6545,0
31.0000,-0.222109,-1.027649,1.051378,-0.294828,-1.353910,1.385639,98.5853,153.3802,0.0000,602.7452,14.3334,13.663658,5.6533,0
31.5000,-0.235001,-1.022774,1.049425,-0.315638,-1.346896,1.383386,108.4725,152.3985,0.0000,613.4634,12.1459,13.690688,5.6869,0
32.0000,-0.228598,-1.034896,1.059842,-0.303204,-1.368163,1.401358,94.8468,153.2635,100.3454,598.5076,13.7154,13.677372,5.6704,0
32.5000,-0.223445,-1.034527,1.058383,-0.295422,-1.367147,1.398701,92.9743,154.0185,45.9951,597.6741,14.1810,13.662776,5.6522,0
33.0000,-0.230212,-1.024902,1.050439,-0.306576,-1.349109,1.383504,101.4243,153.1171,0.0000,605.7914,13.1085,13.667722,5.6584,0
33.5000,-0.242029,-1.024122,1.052333,-0.324087,-1.350367,1.388713,107.1227,152.4397,18.1212,611.4811,13.5343,13.694020,5.6911,0
33.9999,-0.231766,-1.035518,1.061138,-0.307173,-1.369302,1.403333,90.6351,153.6424,97.8452,597.6970,14.0117,13.670437,5.6617,0
34.4999,-0.229400,-1.032299,1.057481,-0.303270,-1.363255,1.396580,93.7019,153.9477,21.5884,598.0437,14.6721,13.661226,5.6503,0
34.9999,-0.238611,-1.022534,1.050005,-0.318840,-1.345268,1.382536,104.1542,152.8630,0.0000,609.0447,12.2512,13.673511,5.6656,0
35.5000,-0.246984,-1.026658,1.055949,-0.328592,-1.355740,1.394992,104.5903,152.6148,52.7098,607.5523,13.9158,13.692492,5.6892,0
36.0000,-0.235599,-1.035341,1.061808,-0.312046,-1.369219,1.404327,90.3964,153.9220,95.0415,597.8594,14.1250,13.666609,5.6570,0
36.5000,-0.235841,-1.029639,1.056304,-0.312014,-1.358506,1.393877,95.1655,153.7986,6.0246,599.3101,15.0159,13.660765,5.6497,0
37.0000,-0.247134,-1.020863,1.050350,-0.331108,-1.343033,1.383247,106.5480,152.6523,0.0000,611.8211,11.8058,13.680509,5.6743,0
37.5000,-0.249560,-1.029690,1.059501,-0.331254,-1.360595,1.400339,103.9412,152.8418,87.4963,603.9069,13.7774,13.687214,5.6826,0
38.0000,-0.240011,-1.034563,1.062039,-0.317639,-1.368030,1.404422,91.8053,154.0718,78.8595,597.9519,13.9704,13.665027,5.6550,0
38.5000,-0.242778,-1.026780,1.055092,-0.321732,-1.353373,1.391089,97.3319,153.5883,0.0000,601.4116,14.9860,13.661963,5.6512,0
38.9999,-0.255308,-1.020266,1.051725,-0.342423,-1.342962,1.385930,108.1338,152.5232,0.0000,613.2599,11.8700,13.687281,5.6827,0
39.4999,-0.251466,-1.031961,1.062157,-0.333554,-1.364080,1.404270,97.8770,153.1804,100.5557,599.6793,13.6376,13.680377,5.6741,0
39.9999,-0.244866,-1.033184,1.061804,-0.323824,-1.365712,1.403578,92.7125,154.1202,55.4036,597.7188,14.0148,13.663346,5.6529,0
40.5000,-0.250204,-1.023897,1.054024,-0.332436,-1.348267,1.388646,100.0404,153.3351,0.0000,604.1670,13.6412,13.665075,5.6551,0
41.0000,-0.262570,-1.020967,1.054190,-0.351710,-1.345311,1.390525,107.9646,152.5047,4.8554,612.5384,12.7472,13.692179,5.6888,0
41.5000,-0.253864,-1.033074,1.063809,-0.336496,-1.365938,1.406776,91.9830,153.5759,98.8708,597.8785,13.9115,13.672893,5.6648,0
42.0000,-0.250135,-1.031185,1.061089,-0.330668,-1.362266,1.401824,93.2723,154.0862,33.6897,597.7273,14.4161,13.661526,5.6507,0
42.5000,-0.257965,-1.021292,1.053368,-0.343805,-1.343864,1.387146,102.8223,153.0767,0.0000,607.3409,12.6295,13.669982,5.6612,0
43.0000,-0.268165,-1.022923,1.057489,-0.357618,-1.349844,1.396413,105.0555,152.6215,37.0596,609.1047,13.9761,13.693154,5.6900,0
43.5000,-0.256998,-1.033234,1.064716,-0.340449,-1.366384,1.408159,90.0772,153.9047,97.0725,597.7396,14.1096,13.667633,5.6583,0
44.0000,-0.255854,-1.028721,1.060060,-0.338308,-1.357921,1.399429,94.3305,153.9761,11.3481,598.5060,14.8813,13.660424,5.6493,0
44.4999,-0.265941,-1.019222,1.053346,-0.355438,-1.340755,1.387069,105.3391,152.8472,0.0000,610.3681,11.9746,13.676335,5.6691,0
44.9999,-0.271410,-1.025821,1.061118,-0.360321,-1.355171,1.402255,104.8963,152.8229,72.9846,606.4319,13.8571,13.689344,5.6853,0
45.5000,-0.260718,-1.032737,1.065139,-0.345155,-1.365738,1.408677,91.0931,154.1132,89.0636,597.9591,14.0579,13.665381,5.6555,0
46.0000,-0.262065,-1.025925,1.058867,-0.346888,-1.352911,1.396674,96.1533,153.7950,0.2613,600.1845,15.1640,13.660697,5.6497,0
46.5000,-0.273874,-1.018023,1.054220,-0.366711,-1.339519,1.388808,107.3837,152.6770,0.0000,612.5385,11.7608,13.683319,5.6778,0
47.0000,-0.273025,-1.028613,1.064231,-0.362167,-1.359418,1.406834,101.1368,153.1043,97.7427,601.5035,13.7019,13.683265,5.6777,0
47.5000,-0.264931,-1.031668,1.065141,-0.350472,-1.363992,1.408299,92.3477,154.2058,63.6461,597.8292,13.9152,13.663923,5.6537,0
48.0000,-0.268755,-1.023032,1.057745,-0.356423,-1.347751,1.394084,98.5712,153.5645,0.0000,602.5596,14.2973,13.662748,5.6522,0
48.5000,-0.281200,-1.018019,1.056142,-0.376546,-1.340577,1.392456,108.2125,152.6020,0.0000,613.0026,12.2015,13.689269,5.6852,0
49.0000,-0.274765,-1.030290,1.066299,-0.364251,-1.362073,1.409937,94.4840,153.4803,100.1681,598.4492,13.7172,13.676069,5.6687,0
49.4999,-0.269546,-1.029991,1.064677,-0.356379,-1.361142,1.407022,92.9512,154.2117,45.6004,597.6030,14.1836,13.662086,5.6514,0
49.9999,-0.275855,-1.020265,1.056900,-0.366795,-1.342939,1.392129,101.3147,153.3100,0.0000,605.4894,13.1061,13.666630,5.6570,0
50.5000,-0.287304,-1.019335,1.059050,-0.383788,-1.344029,1.397751,106.7957,152.6495,19.4047,611.0232,13.6223,13.692451,5.6891,0
51.0000,-0.277148,-1.030908,1.067512,-0.367194,-1.363203,1.411791,90.5047,153.8520,97.7248,597.7245,14.0246,13.669472,5.6605,0
51.5000,-0.274578,-1.027754,1.063801,-0.362984,-1.357248,1.404948,93.6661,154.1407,21.4634,597.9269,14.6662,13.660484,5.6494,0
52.0000,-0.283281,-1.017851,1.056536,-0.377734,-1.339033,1.391292,103.9702,153.0627,0.0000,608.6445,12.2659,13.672217,5.6640,0
52.5000,-0.291450,-1.021782,1.062535,-0.387338,-1.349265,1.403762,104.4432,152.8214,52.7565,607.3585,13.9311,13.690991,5.6873,0
53.0000,-0.280193,-1.030742,1.068147,-0.371039,-1.363133,1.412728,90.3430,154.1205,95.1177,597.8712,14.1282,13.665933,5.6562,0
53.5000,-0.280062,-1.025139,1.062706,-0.370423,-1.352596,1.402401,95.0566,153.9980,6.3553,599.0869,14.9958,13.659913,5.6487,0
54.0000,-0.290798,-1.016132,1.056924,-0.388637,-1.336712,1.392062,106.2637,152.8615,0.0000,611.3094,11.8342,13.678857,5.6722,0
54.5000,-0.293348,-1.024791,1.065950,-0.389147,-1.354089,1.408898,103.8563,153.0424,87.0101,603.8968,13.7990,13.686013,5.6811,0
54.9999,-0.283760,-1.030001,1.068374,-0.375518,-1.362011,1.412830,91.7345,154.2676,79.8353,597.9438,13.9754,13.664429,5.6543,0
55.5000,-0.286043,-1.022276,1.061541,-0.378826,-1.347467,1.399706,97.1504,153.7926,0.0000,601.0823,15.0481,13.660930,5.6499,0
56.0000,-0.298080,-1.015439,1.058285,-0.398796,-1.336475,1.394705,107.8457,152.7335,0.0000,612.7850,11.8835,13.685492,5.6805,0
56.5000,-0.294535,-1.027132,1.068527,-0.390513,-1.357666,1.412713,97.9450,153.3739,100.4289,599.7503,13.6299,13.679474,5.6730,0
57.0000,-0.287741,-1.028670,1.068156,-0.380537,-1.359783,1.412026,92.6560,154.3171,56.3544,597.6787,13.9986,13.662774,5.6522,0
57.5000,-0.292468,-1.019426,1.060550,-0.388130,-1.342426,1.397409,99.7203,153.5513,0.0000,603.6567,13.7366,13.663718,5.6534,0
58.0000,-0.304512,-1.015994,1.060647,-0.407073,-1.338562,1.399091,107.7872,152.7118,3.6299,612.2501,12.6913,13.690336,5.6865,0
58.5000,-0.296223,-1.028308,1.070124,-0.392533,-1.359605,1.415135,92.1438,153.7560,98.9559,597.9320,13.8877,13.672383,5.6642,0
59.0000,-0.292117,-1.026763,1.067508,-0.386174,-1.356508,1.410406,93.1787,154.2886,35.7898,597.6006,14.3692,13.660931,5.6499,0
59.5000,-0.299253,-1.016797,1.059919,-0.398144,-1.337960,1.395943,102.4110,153.3003,0.0000,606.6825,12.7213,13.668246,5.6590,0
59.9999,-0.309465,-1.017797,1.063804,-0.412312,-1.342850,1.404723,105.1918,152.8163,34.2124,609.1848,13.9874,13.691688,5.6882,0
60.5000,-0.298543,-1.028569,1.071019,-0.395416,-1.360196,1.416505,90.0252,154.0858,97.1504,597.7346,14.1053,13.667122,5.6576,0
61.0000,-0.296916,-1.024359,1.066523,-0.392552,-1.352280,1.408104,94.1441,154.1855,12.3697,598.2425,14.8492,13.659672,5.6484,0
61.5000,-0.306309,-1.014635,1.059863,-0.408545,-1.334656,1.395785,104.8960,153.0714,0.0000,609.6715,12.0383,13.674293,5.6665,0
62.0000,-0.312212,-1.020642,1.067327,-0.414304,-1.348235,1.410456,104.7541,153.0104,70.3459,606.6362,13.8766,13.688384,5.6841,0
62.5000,-0.301458,-1.028168,1.071451,-0.399074,-1.359710,1.417064,90.8919,154.2966,90.8360,597.9412,14.0802,13.664854,5.6548,0
63.0000,-0.302171,-1.021657,1.065406,-0.399792,-1.347449,1.405508,95.8070,154.0174,1.7910,599.7217,15.1093,13.659668,5.6484,0
63.5000,-0.313335,-1.013304,1.060643,-0.418641,-1.333142,1.397329,106.9279,152.9010,0.0000,611.8876,11.7861,13.680944,5.6748,0
64.0000,-0.313307,-1.023484,1.070365,-0.415449,-1.352563,1.414929,101.7325,153.2695,96.2015,601.9412,13.7259,13.682828,5.6772,0
64.5000,-0.304831,-1.027219,1.071494,-0.403283,-1.358180,1.416789,92.1930,154.3971,68.4274,597.8289,13.9250,13.663470,5.6531,0
64.9999,-0.307898,-1.018810,1.064319,-0.407961,-1.342364,1.402987,98.0697,153.7986,0.0000,601.9013,14.5025,13.661306,5.6504,0
65.5000,-0.319940,-1.013092,1.062410,-0.427640,-1.333817,1.400694,107.9478,152.8141,0.0000,612.6335,12.1247,13.686987,5.6823,0
66.0000,-0.314311,-1.025368,1.072460,-0.416577,-1.355501,1.418069,95.1805,153.6317,100.3354,598.6772,13.6686,13.675999,5.6687,0
66.5000,-0.308582,-1.025671,1.071086,-0.408021,-1.355556,1.415632,92.8432,154.4120,48.8671,597.5391,14.1227,13.661654,5.6508,0
67.0000,-0.314066,-1.016015,1.063449,-0.417021,-1.337470,1.400976,100.7250,153.5497,0.0000,604.6633,13.2839,13.664749,5.6547,0
67.5000,-0.325475,-1.014144,1.065092,-0.434359,-1.336795,1.405592,106.9736,152.8412,14.6421,611.1679,13.3195,13.690609,5.6868,0
68.0000,-0.315940,-1.026162,1.073697,-0.418535,-1.356877,1.419960,90.7899,153.9976,97.9634,597.7558,13.9979,13.669500,5.6606,0
