t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
4.8005,0.316503,-1.393861,1.429343,0.483086,-1.263499,1.352702,189.1809,28.9918,0.0000,559.8539,3.2079,13.769362,5.7855,0
4.8505,0.279987,-1.194118,1.226504,-0.124485,-1.292702,1.298682,367.4199,25.6248,0.0000,867.9236,9.6791,13.145005,5.0337,0
4.9005,0.216177,-1.033787,1.056148,-0.046623,-1.391129,1.391910,59.5674,186.4475,0.0000,897.6273,5.9086,14.331868,6.5240,0
4.9505,0.134479,-0.887591,0.897721,0.263045,-1.190035,1.218760,35.4099,294.1978,0.0000,724.4108,4.6432,13.018602,4.8899,0
5.0500,-0.176623,-0.740353,0.761129,0.052838,0.188740,0.195997,202.3087,165.0850,0.0000,583.1464,3.3637,12.840799,4.6922,0
5.1000,-0.323768,-0.828397,0.889420,-0.978995,0.283859,1.019317,192.3260,259.5597,0.0000,394.1513,7.7706,12.938388,4.8000,0
5.1500,-0.411534,-0.966282,1.050267,-1.672695,-0.573967,1.768430,354.5899,463.8436,0.0000,315.0293,8.3814,12.837215,4.6883,0
5.2000,-0.456272,-1.095423,1.186649,-1.211719,-1.484753,1.916443,89.7816,260.8428,0.0000,351.7700,4.2648,13.658281,5.6467,0
5.2500,-0.455985,-1.195985,1.279962,-0.479102,-1.509676,1.583875,330.2810,117.9568,0.0000,143.4822,4.1833,14.125363,6.2460,0
5.3000,-0.432622,-1.251848,1.324494,-0.567536,-1.519802,1.622312,308.6363,87.8080,0.0000,362.9484,10.6213,13.056395,4.9326,0
5.3500,-0.399404,-1.332446,1.391020,-0.459001,-1.539370,1.606344,119.5233,206.6979,0.0000,533.2585,8.0026,12.737744,4.5802,0
5.4000,-0.308935,-1.441769,1.474496,-0.446195,-1.312961,1.386707,175.4837,286.0241,0.0000,913.0820,5.0006,13.774145,5.7916,0
5.4501,-0.155929,-1.477108,1.485316,-0.372513,-1.207702,1.263848,149.2409,231.8993,0.0000,940.1858,4.9188,14.696687,7.0350,0
5.5001,-0.064571,-1.395355,1.396848,0.048343,-1.276032,1.276948,423.1987,157.7136,0.0000,678.1653,3.7548,14.436200,6.6675,0
5.5501,-0.058482,-1.283229,1.284561,-0.142464,-1.367644,1.375044,180.1105,198.6406,0.0000,355.7052,5.9511,12.922722,4.7826,0
5.6001,-0.150853,-1.246100,1.255197,-0.358589,-1.423761,1.468224,206.8738,239.6888,0.0000,504.6851,4.8600,13.696069,5.6937,0
5.6501,-0.280832,-1.319216,1.348776,-0.588153,-1.633950,1.736582,275.8538,221.6169,0.0000,331.3531,4.9546,13.415625,5.3510,0
5.7001,-0.395620,-1.458339,1.511048,-0.483507,-1.783523,1.847900,444.0343,205.1035,0.0000,830.4634,7.6961,12.556693,4.3876,0
5.7501,-0.431159,-1.590852,1.648244,-0.659786,-1.783502,1.901630,334.0873,210.0370,0.0000,433.3729,4.4079,14.285938,6.4614,0
5.8001,-0.437479,-1.722810,1.777488,-0.493379,-1.813792,1.879698,22.7637,245.5180,0.0000,556.9554,5.1644,14.036321,6.1286,0
5.8501,-0.425141,-1.900211,1.947189,-0.703427,-1.589283,1.737996,759.3429,190.5107,0.0000,706.2245,1.8773,13.576182,5.5454,0
5.9001,-0.330935,-2.002744,2.029902,-1.285497,-1.751971,2.172994,1064.0080,265.4668,0.0000,1197.7597,2.4381,13.638678,5.6224,0
5.9501,-0.191157,-1.931155,1.940593,-0.651094,-2.114834,2.212792,25.0209,291.4420,0.0000,394.2736,5.3645,12.765509,4.6102,0
6.0001,-0.039798,-1.794754,1.795195,0.096027,-2.232330,2.234394,301.0078,104.5003,0.0000,1310.5882,5.3287,14.179330,6.3179,0
6.0501,0.096043,-1.576913,1.579835,0.009030,-1.861282,1.861304,582.5348,0.0000,0.0000,1384.7895,3.0740,14.175202,6.3123,0
6.1001,0.141092,-1.338766,1.346180,-0.034184,-1.655963,1.656316,80.1179,20.9681,0.0000,244.5457,4.3790,13.437499,5.3772,0
6.1501,0.137548,-1.168694,1.176761,0.151075,-1.463506,1.471283,49.3972,173.5399,0.0000,222.1562,4.3744,14.162710,6.2957,0
6.2001,0.115798,-1.073533,1.079760,0.349288,-1.245226,1.293286,2.2233,274.8060,0.0000,545.7979,3.9666,13.757223,5.7703,0
6.2501,0.089660,-1.032247,1.036134,0.445862,-0.915653,1.018437,122.4110,233.5001,0.0000,89.9110,5.2456,12.973729,4.8395,0
6.3001,0.088901,-1.033845,1.037660,0.119648,-0.510689,0.524517,195.9833,145.4967,0.0000,463.3053,6.5706,13.592978,5.5660,0
6.3501,0.124252,-1.075136,1.082292,-0.548810,-0.667477,0.864128,243.6721,179.2403,0.0000,143.8688,7.4889,12.818775,4.6681,0
6.4001,0.164366,-1.154510,1.166152,-0.690086,-1.350870,1.516928,552.5196,1000.2489,0.0000,667.4223,2.5005,13.342125,5.2635,0
6.4502,0.191896,-1.259864,1.274395,-0.120996,-1.814054,1.818084,50.0983,245.9314,0.0000,517.2684,4.9159,13.149997,5.0394,0
6.5002,0.227433,-1.387526,1.406042,0.415240,-1.682841,1.733314,292.8288,111.6872,0.0000,546.0702,4.5365,12.462067,4.2892,0
6.5502,0.294196,-1.445838,1.475466,0.382071,-1.752925,1.794081,492.5534,121.9580,0.0000,745.1176,5.2228,13.593618,5.5668,0
6.6002,0.397196,-1.434243,1.488227,0.484047,-1.723680,1.790355,57.4293,280.1748,0.0000,620.7368,5.2572,13.033006,4.9061,0
6.6502,0.526504,-1.419554,1.514047,0.581585,-1.603188,1.705419,0.0000,299.4272,0.0000,573.8402,7.7447,13.321600,5.2393,0
