t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
33.9999,-0.280633,-0.910673,0.952932,-0.371099,-1.203700,1.259606,105.1765,153.5995,103.8347,602.1426,14.8941,13.648327,5.6343,0
34.4999,-0.277773,-0.917712,0.958829,-0.366959,-1.207774,1.262290,92.5391,154.2616,0.0000,597.8664,14.9945,13.645056,5.6303,0
34.9999,-0.277505,-0.915869,0.956988,-0.369921,-1.205114,1.260611,96.3558,154.4676,0.0000,599.5895,13.7245,13.639117,5.6229,0
35.5000,-0.277562,-0.910759,0.952114,-0.366988,-1.204582,1.259245,99.2034,154.0224,104.0308,600.3147,14.7670,13.641497,5.6259,0
36.0000,-0.280584,-0.911513,0.953721,-0.370979,-1.204435,1.260273,105.5172,153.5948,86.7845,603.7473,15.3857,13.649226,5.6354,0
36.5000,-0.277624,-0.917743,0.958816,-0.367065,-1.207523,1.262081,92.3668,154.3550,0.0000,597.8540,14.0712,13.644926,5.6301,0
37.0000,-0.277375,-0.915338,0.956441,-0.369820,-1.205234,1.260697,96.0080,154.4491,0.0000,598.5941,14.5930,13.639244,5.6231,0
37.5000,-0.278001,-0.910279,0.951784,-0.367521,-1.203914,1.258762,99.7654,153.9522,106.2635,599.7906,15.1177,13.642847,5.6275,0
38.0000,-0.280368,-0.912515,0.954615,-0.370573,-1.205240,1.260923,105.5352,153.6098,76.8816,601.9286,15.4470,13.649809,5.6362,0
38.5000,-0.277518,-0.917703,0.958746,-0.367278,-1.207179,1.261814,93.0439,154.4224,0.0000,599.3136,13.2280,13.644429,5.6295,0
38.9999,-0.277245,-0.914714,0.955807,-0.369385,-1.205557,1.260878,95.2058,154.4286,0.0000,599.4457,16.0233,13.641066,5.6253,0
39.4999,-0.278486,-0.909904,0.951567,-0.368143,-1.203358,1.258411,100.5482,153.8828,108.0180,601.9503,15.2887,13.643443,5.6283,0
39.9999,-0.280013,-0.913619,0.955567,-0.369938,-1.206039,1.261501,104.4392,153.6512,62.1557,600.3416,15.3056,13.650732,5.6373,0
