run_id,struc_name,struc_config,wind_speed,payout_duration,active_winch,damping_mode,EA_back_line,c_back_line,i_pto,field_imu,mppt_stall,payout_base_m,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,slack_events_late,speed_ripple_rms,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,fos_buckling_ring_id,peak_strut_load,peak_strut_ring_id,max_out_of_plane_accel,max_node_jerk,T_trpt_max,peak_trpt_segment_idx,peak_trpt_line_idx,is_disqualified,disqualification_reason
124,safe_50kw,4,20.0,15.0,1,0,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,1.1336806515499483e8,20.786585007876553,8375.003635572064,285669.5258988815,444548.98605277366,477,291,25.084662807102507,3.4601100000142004,1,1.1199990301084164,0.0,3.4800000000143307,19.58886122803285,3.62246660960376e7,8375.003635572064,0.0,1.5021273653550367,0.047876561770466446,3,429113.6665823825,1,14694.379389605656,1.4850152001829266e10,8.628185438526323e6,1,7,1,slack_sky_anchor
125,safe_50kw,4,20.0,15.0,1,2,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,1.1560494247059709e8,2.472404271647325,50345.96019301663,224560.44053542332,454880.64216882444,248,157,16.925374269815062,NaN,0,9.31229615034487,-3.701753705247018,NaN,19.833091387347704,2.1300972255707476e7,50345.96019301663,1032.7186814887314,1.0470131521534256,0.5564817984079129,5,55684.96796418556,13,18254.691959205436,1.4850808795528208e10,8.628666598887939e6,1,3,1,ring_buckling
126,safe_50kw,4,20.0,15.0,1,2,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,6.378960841135691e7,24.75128761662744,1553.4893290627642,274812.7297766315,459087.60993251926,491,293,17.54251514298154,2.328310000006786,1,0.5675239551469381,0.0,2.3400000000068624,14.50433411280981,2.129706399375221e7,5092.7146438849395,0.0,1.5238133969576655,0.027289458790215656,1,586146.675643092,1,28577.28152975986,1.4850152001829266e10,8.628185438526323e6,1,7,1,slack_sky_anchor
127,safe_50kw,4,20.0,15.0,1,2,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,1.1560494247059709e8,2.472404271647325,50345.96019301663,224560.44053542332,454880.64216882444,248,157,16.925374269815062,NaN,0,9.31229615034487,-3.701753705247018,NaN,19.833091387347704,2.1300972255707476e7,50345.96019301663,1032.7186814887314,1.0470131521534256,0.5564817984079129,5,55684.96796418556,13,18254.691959205436,1.4850808795528208e10,8.628666598887939e6,1,3,1,ring_buckling
128,safe_50kw,4,20.0,15.0,1,2,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,6.378960841135691e7,24.75128761662744,1553.4893290627642,274812.7297766315,459087.60993251926,491,293,17.54251514298154,2.328310000006786,1,0.5675239551469381,0.0,2.3400000000068624,14.50433411280981,2.129706399375221e7,5092.7146438849395,0.0,1.5238133969576655,0.027289458790215656,1,586146.675643092,1,28577.28152975986,1.4850152001829266e10,8.628185438526323e6,1,7,1,slack_sky_anchor
129,base_10kw,1,11.0,5.0,0,0,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,330436.7974408379,4.744015111445697,130.57494893319478,9470.64260040428,30522.86752856369,401,293,6.680074324810543,5.899799999945815,1,-0.2053781461743004,0.0,5.899999999945807,14.999999999969415,143106.32288230472,130.57494893319478,427.3082286750274,0.9106872546459783,0.38809916697952856,2,14113.37639745151,1,8642.607160082447,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
130,base_10kw,1,11.0,5.0,0,0,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,601311.5595599008,3.671524723781168,356.61323702185797,11583.81755853558,32524.403377369523,476,293,11.036452462038978,5.934379999944506,1,-0.019441603428496684,0.0,5.939999999944293,14.999999999969415,229992.22996393114,356.61323702185797,0.0,0.9831497848753443,0.13357308065457602,2,31987.020741432905,1,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
131,base_10kw,1,11.0,5.0,0,0,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,330436.7974408379,4.744015111445697,130.57494893319478,9470.64260040428,30522.86752856369,401,293,6.680074324810543,5.899799999945815,1,-0.2053781461743004,0.0,5.899999999945807,14.999999999969415,143106.32288230472,130.57494893319478,427.3082286750274,0.9106872546459783,0.38809916697952856,2,14113.37639745151,1,8642.607160082447,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
132,base_10kw,1,11.0,5.0,0,0,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,601311.5595599008,3.671524723781168,356.61323702185797,11583.81755853558,32524.403377369523,476,293,11.036452462038978,5.934379999944506,1,-0.019441603428496684,0.0,5.939999999944293,14.999999999969415,229992.22996393114,356.61323702185797,0.0,0.9831497848753443,0.13357308065457602,2,31987.020741432905,1,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
133,base_10kw,1,11.0,5.0,0,2,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,1.1835139537886365e6,12.02271746878154,151.9301865157294,15596.318859428144,30732.1053405347,401,293,19.715250389373303,8.786869999836517,1,-1.2893215798714142,0.0,8.79999999983602,14.999999999969415,485643.4965470887,151.9301865157294,427.33352684214407,1.5821721396726929,0.1636228826782954,4,34606.17239662812,1,19032.84388814871,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
